molecule_name,smiles,inchikey,pec50,external_nn_tanimoto,external_nn_pchembl,external_top5_pchembl,external_has_exact_match,external_covered_t03,external_covered_t04
OADMET-0006077,COCC(NC(=O)c1cc(S(=O)(=O)N(C)C)c[nH]1)c1cccc(Br)c1,ONQVCGFEDCIUFG-UHFFFAOYSA-N,5.07,0.22619048,5.025,5.208302496736645,False,False,False
OADMET-0006076,Cc1ccc(NCc2cccc3ccccc23)cc1-n1cnnn1,QNQSCXODGQCIFA-UHFFFAOYSA-N,5.12,0.17948718,6.0,5.51107662079466,False,False,False
OADMET-0006075,O=C(Cc1cc2cc(Cl)ccc2[nH]1)N[C@H]1CCCc2cccnc21,WTTZSARDULEWAA-KRWDZBQOSA-N,5.03,0.20253165,6.05,5.603675934957292,False,False,False
OADMET-0006074,Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)c1,ODFQLEKETFSJFO-UHFFFAOYSA-N,5.14,0.24324325,5.16,5.914464802398175,False,False,False
OADMET-0006073,O=C(CNS(=O)(=O)c1ccccc1F)N1C[C@H]2C[C@H](c3ccccc3)[C@H]2C1,NIMNIJTYRQIDGA-ZACQAIPSSA-N,5.07,0.24285714,5.17,6.358711546736702,False,False,False
OADMET-0006072,Cc1nocc1Cc1noc(-c2cccn(CC(C)C)c2=O)n1,YWFZSGTWXKPCSQ-UHFFFAOYSA-N,5.44,0.21518987,6.0,5.391709548979192,False,False,False
OADMET-0006071,Cc1cc(F)ccc1Cc1noc(C2CCc3nccn3C2)n1,TUZADKUNWGHODO-UHFFFAOYSA-N,3.96,0.1875,6.0,5.3587073433081285,False,False,False
OADMET-0006070,COC(c1noc(Cc2cc(C)on2)n1)c1ccccc1Cl,UYWKUGDEECDFRW-UHFFFAOYSA-N,4.36,0.1884058,4.5,5.1982009805989655,False,False,False
OADMET-0006069,CC(C)Oc1ccccc1CC(=O)NC1CCN(Cc2ccccc2)C1=O,ROJMQXCYXDRWHC-UHFFFAOYSA-N,5.19,0.2535211,4.5,5.1660554670283,False,False,False
OADMET-0006068,O=C1CCCN1[C@H]1CCCC[C@H]1c1nc(-c2cnn(CCF)c2)no1,BGLWONKREUIIKI-KGLIPLIRSA-N,4.76,0.16,4.3,4.9933559769851845,False,False,False
OADMET-0006067,COc1cc(NCCNC(=O)c2cnn3c2NCCC3)cc(OC)c1,DNZPCMOEYFFPAU-UHFFFAOYSA-N,4.74,0.18681319,5.72,6.047002544549531,False,False,False
OADMET-0006066,O=C(NCc1c[nH]c(=O)c2ccccc12)N1CC2(CC=CC2)C1c1ccccc1,UBNROXQETPKCQA-UHFFFAOYSA-N,5.02,0.1954023,4.89,4.833803740844556,False,False,False
OADMET-0006065,Cc1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CC3(CCC3)C2)c(C)cc1Cl,WVPKQSARPDHRAD-IRXDYDNUSA-N,5.2,0.2,5.13,5.0613845339208945,False,False,False
OADMET-0006064,CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1,SYVJHMPDJJFDRK-UHFFFAOYSA-N,4.61,0.1590909,6.1,5.276946091900413,False,False,False
OADMET-0006063,CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC,UUGQEDCVVLEROS-UHFFFAOYSA-N,5.44,0.15686275,5.24,5.382147323069113,False,False,False
OADMET-0006062,O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)c1cnc2ccccc2c1,ZSQYQIZKFAWRCS-QIAUWCJISA-N,4.81,0.2,5.56,5.277573809603143,False,False,False
OADMET-0006061,Cc1nccn1-c1ncccc1CNC1CCCc2ccc(F)cc21,KEUZNBFJDOZPOO-UHFFFAOYSA-N,4.69,0.19101124,5.63,5.632119348861683,False,False,False
OADMET-0006060,CCn1ccnc1[C@H]1OCCC[C@@H]1NC(=O)c1ccc(Br)o1,YANGTBYQVAXTID-GWCFXTLKSA-N,4.87,0.20454545,4.89,5.2264741129358985,False,False,False
OADMET-0006059,CCC(=O)NC(C(=O)N1CC=C(c2cccs2)CC1)c1ccccc1,YYFXEECPBGTJKS-UHFFFAOYSA-N,4.45,0.22222222,4.95,5.217858612032263,False,False,False
OADMET-0006058,O=C(NC1(c2c(F)cccc2F)CCC1)C1CNCc2ccccc21,SGSASCZPSNQZLF-UHFFFAOYSA-N,5.26,0.24242425,5.6,5.690762136650433,False,False,False
OADMET-0006057,CCOc1ccc(C(=O)N(C)CCc2ccc(O)c(OC)c2)cc1C,QMGSBJUKUOWVBD-UHFFFAOYSA-N,4.48,0.20987654,6.09,5.708241071949736,False,False,False
OADMET-0006056,COC(=O)[C@H]1[C@H]2CC[C@H]2CN1C(=O)CCc1n[nH]c2ccccc12,RTZOKKJMTNELOI-NVGCLXPQSA-N,4.58,0.21212122,5.36,4.864227910244056,False,False,False
OADMET-0006055,CC(C)Cn1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)cn1,WBHXCPAGPBKGKM-UHFFFAOYSA-N,4.95,0.27659574,5.48,4.97370079252983,False,False,False
OADMET-0006054,Cc1cnn(C)c1S(=O)(=O)N(C)CCNc1ccccn1,MQTDTRRNDDYNJE-UHFFFAOYSA-N,4.68,0.22619048,5.235,5.124320394726159,False,False,False
OADMET-0006053,Cc1cccc(C2CCCN2C(=O)CCn2c(=O)n(C)c3ccccc32)n1,KPBVWTBBIZQQMB-UHFFFAOYSA-N,5.31,0.225,6.0,5.39419172543709,False,False,False
OADMET-0006052,CCN1N=C(c2ccccc2)C(C(=O)Nc2ccccc2F)C1=O,KIIWWHILTDEFGN-UHFFFAOYSA-N,4.6,0.24675325,5.1,5.232333430956677,False,False,False
OADMET-0006051,CCCOC1(c2noc(-c3cc(=O)[nH]c(C4CC4)n3)n2)CCCCC1,QJMMPBIAVTYHDL-UHFFFAOYSA-N,5.11,0.23595506,5.22,4.987093264611056,False,False,False
OADMET-0006050,O=C1NC(Cc2ccccn2)C(=O)N1CCc1cccc2cccnc12,IAHAPVYVNHXHIE-UHFFFAOYSA-N,5.18,0.22891566,5.3,5.378277375769533,False,False,False
OADMET-0006049,CC(Sc1nnc(-c2c[nH]c3ccccc23)o1)C(=O)NCC(F)(F)F,ZERZLZZXKXXCBL-UHFFFAOYSA-N,4.85,0.24742268,5.36,5.48574566304056,False,False,False
OADMET-0006048,CN(C)c1cccc(S(=O)(=O)N2CCN(c3cnccn3)CC2)c1,VMNRUUOJQZXLAD-UHFFFAOYSA-N,4.99,0.20253165,5.025,5.5765089865356545,False,False,False
OADMET-0006047,COc1ccc(CC(=O)NC(c2ccc(F)c(F)c2)C(C)(C)N2CCCC2)cc1,PGPIYOCNWBGPND-UHFFFAOYSA-N,4.93,0.23809524,5.89,6.049473664162164,False,False,False
OADMET-0006046,CNC(=O)c1ncoc1C1C2CC1N(C(=O)Cc1ccc(Cl)cc1Cl)C2,CPRHBKCTOAWEFB-UHFFFAOYSA-N,5.13,0.22077923,4.95,4.935289290622425,False,False,False
OADMET-0006045,O=C(Cc1noc2ccccc12)NC1CCCN(Cc2ccc(F)cc2F)C1=O,BKPHMCGRZVPEJP-UHFFFAOYSA-N,5.42,0.2,4.89,5.438184495193397,False,False,False
OADMET-0006044,C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,UVHNSQVQSKRJEZ-UHFFFAOYSA-N,4.93,0.14516129,5.13,5.528583177958411,False,False,False
OADMET-0006043,O=C1CCCN1CC(NCc1n[nH]c2ccccc12)c1ccccc1,UCRHBKPSFYOVGC-UHFFFAOYSA-N,4.72,0.27142859,5.46,5.278179954003345,False,False,False
OADMET-0006042,COC1(C)CCCN(C(=O)c2ncccc2NCC2CCC2)CC1,ZQAKGSVEKPICRX-UHFFFAOYSA-N,5.24,0.21359223,5.32,5.69279468206048,False,False,False
OADMET-0006041,COc1ccc2nc(C(=O)N(C)CCc3ccc(F)cc3)ccc2c1,HRBHCRJOSKLRMT-UHFFFAOYSA-N,5.09,0.23943663,4.95,5.446423939428207,False,False,False
OADMET-0006040,CCOC(=O)c1c(NC(=O)CN(C)Cc2ccon2)sc(C(N)=O)c1C,VUXYZGCEIIUUDZ-UHFFFAOYSA-N,5.3,0.17525773,4.5,5.408154989446773,False,False,False
OADMET-0006039,O=C(c1ccc(-c2nc3ccccc3s2)o1)N1CCCC(N2CCNC2=O)C1,LDZQHKRZLLIRPS-UHFFFAOYSA-N,4.18,0.1923077,5.48,5.101999857760636,False,False,False
OADMET-0006038,O=C1c2ccccc2CN1CC(=O)N1CCCC1c1nc2ccccc2s1,SWDXCGHTPLNAIM-UHFFFAOYSA-N,4.94,0.1919192,5.48,5.214983050804791,False,False,False
OADMET-0006037,Cc1cccn2c(=O)cc(Cn3cc(C(O)c4ccccc4)nn3)nc12,UPVJTKMLEIVOON-UHFFFAOYSA-N,4.74,0.23943663,5.06,5.218983124630394,False,False,False
OADMET-0006036,CC(C)Cn1cccc(-c2nc(-c3coc(C4CCC4)n3)no2)c1=O,MNSQIGLUBSMRDU-UHFFFAOYSA-N,5.2,0.19587629,4.3,5.17058864428661,False,False,False
OADMET-0006035,N#Cc1ccc(CCSc2ccc(C(=O)N3CCCC3)cn2)cc1,PXDJIFZYVGXGOK-UHFFFAOYSA-N,5.53,0.1971831,4.5,5.17149237874739,False,False,False
OADMET-0006034,CC1(NC(=O)c2ccc(=O)n(-c3ccccc3)n2)CCCCC1,KCZICMZTYDWCSD-UHFFFAOYSA-N,4.93,0.22058824,4.925,5.251865934275706,False,False,False
OADMET-0006033,CC1c2c(F)cccc2CCN1C(=O)Nc1ccc(-n2cccn2)nc1,BAYGUZHFVADHGJ-UHFFFAOYSA-N,5.14,0.19354838,5.22,5.577297639680033,False,False,False
OADMET-0006032,CON(C)C(=O)c1cc(-c2cccnc2)nc2c1cnn2Cc1ccco1,VMXKQIBOTHZOBO-UHFFFAOYSA-N,4.76,0.17431192,5.7,4.957265569449557,False,False,False
OADMET-0006031,CC(C)(C)OC(=O)NCc1cc(-c2nc(-c3cnc4cnccn34)no2)ccn1,DDVFJGHISNZQGV-UHFFFAOYSA-N,4.42,0.20792079,4.3,4.589910300558768,False,False,False
OADMET-0006030,CC1(C)CN(c2cc(-c3ccccc3)nc3ncnn23)CC2(CCOC2)O1,DYGIIYMCZAKMPG-UHFFFAOYSA-N,5.06,0.18811882,5.24,5.614605157592468,False,False,False
OADMET-0006029,Cc1c(CNC(=O)C(c2ccccc2)N2CCC(O)CC2)oc2ccc(F)cc12,WHDXTIYNDFZHQH-UHFFFAOYSA-N,4.74,0.23232323,5.8,5.685323295220757,False,False,False
OADMET-0006028,Cc1cc(C(=O)NC2(c3ccccn3)CC2)nn1-c1cccc(Cl)c1,IVHIKZSVNCUIHI-UHFFFAOYSA-N,5.23,0.3488372,5.8,5.751565702213931,False,True,False
OADMET-0006027,COCc1cc(Cn2cc(C34CC5CC(CC(C5)C3)C4)nn2)no1,WBEWFHFPLNKWBR-UHFFFAOYSA-N,5.23,0.16666667,5.47,5.224282107869304,False,False,False
OADMET-0006026,O=C(Nc1cc2n(n1)CCCC2)c1cccc(C2CCOC2)c1,LTMANJCKIQTGMX-UHFFFAOYSA-N,4.64,0.19480519,5.16,5.238798149974729,False,False,False
OADMET-0006025,Cc1conc1CS(=O)(=O)N(C)C(c1ccccc1)C(F)(F)F,SMJMYQOFLCKRMZ-UHFFFAOYSA-N,5.22,0.21794872,5.63,5.887840371005302,False,False,False
OADMET-0006024,Cc1ccc(N(C)C(=O)[C@H]2C[C@@H]2c2ccc(OC(F)F)cc2)nn1,POYGBIYUXHAYBE-KGLIPLIRSA-N,4.61,0.23880596,5.6,5.186698024720011,False,False,False
OADMET-0006023,CCc1ccc(C2COCCN2S(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)o1,SZZLKRQAXOFUMK-UHFFFAOYSA-N,4.98,0.19767442,7.44,6.430798077404681,False,False,False
OADMET-0006022,Cn1nccc1C12CCC(C1)C2C(=O)NCCCc1c[nH]nc1C(F)(F)F,AKPICNNHENFEJI-UHFFFAOYSA-N,4.97,0.18604651,4.5,4.506627865526985,False,False,False
OADMET-0006021,Cc1cccc2cc(C(=O)N3CCCN(S(C)(=O)=O)CC3)oc12,NWBGOPRZTXBCAE-UHFFFAOYSA-N,4.93,0.19318181,6.42,5.771945522654619,False,False,False
OADMET-0006020,CC1(c2nc(-c3csc(C(F)(F)F)c3)no2)CCNC(=O)C1,MZKLXLYUAIOWDB-UHFFFAOYSA-N,5.07,0.20833333,4.3,4.607006239151814,False,False,False
OADMET-0006019,O=C(NCCc1c[nH]c2cc(F)ccc12)C1COc2ccccc21,SGKBXHPHSYQSKW-UHFFFAOYSA-N,4.73,0.22988506,4.89,5.196195058181258,False,False,False
OADMET-0006018,Cc1ccc(CNC(=O)N2CCCN(S(C)(=O)=O)CC2)nc1C,VVHDDUIJNWYKBB-UHFFFAOYSA-N,4.63,0.2,5.16,6.312791709201679,False,False,False
OADMET-0006017,COc1ccc2nc(CN3CCCC(N4CCCC4=O)CC3)sc2c1,DHEGFMBLMICECU-UHFFFAOYSA-N,5.16,0.2293578,5.89,5.713458921539197,False,False,False
OADMET-0006016,CC(C)c1ncncc1C(=O)Nc1nc2ccc(S(=O)(=O)N3CCCC3)cc2s1,MUTOCWGPGGYZQF-UHFFFAOYSA-N,4.26,0.1954023,6.0,5.786064939340909,False,False,False
OADMET-0006015,CCn1c(=O)[nH]c(=O)c2c(C(=O)Nc3cc(-c4ccco4)nn3C)cc(C3CC3)nc21,VXLPXEUDXOBHBR-UHFFFAOYSA-N,4.51,0.22680412,4.89,4.863183686101242,False,False,False
OADMET-0006014,Cc1noc(C)c1-c1cn(C(C(=O)N(C)C)c2ccccc2)nn1,QQKLPEZLVTYEBT-UHFFFAOYSA-N,5.39,0.2,5.3,5.087647445920374,False,False,False
OADMET-0006013,NS(=O)(=O)N1CCCN(c2nc(-c3ccncc3)nc3ccccc23)CC1,ZQFYYXLJVMCABY-UHFFFAOYSA-N,4.34,0.18032786,4.95,5.615389646181913,False,False,False
OADMET-0006012,CCC(NC(CO)Cc1ccc(F)cc1)c1ccccc1F,PIYVGEPVPSFHHI-UHFFFAOYSA-N,4.93,0.19117647,7.32,6.000740753941315,False,False,False
OADMET-0006011,c1ccc(-c2cc(NC3COC(C4CC4)C3)n3nccc3n2)cc1,WEJSVIZWRDHEEW-UHFFFAOYSA-N,5.11,0.2962963,4.64,5.1232409887001396,False,False,False
OADMET-0006010,CCn1c(-c2cc(C)oc2C)nnc1N(C)CCCSC,ZPLFKRBKLDLARZ-UHFFFAOYSA-N,5.28,0.1392405,4.7,5.302992544054451,False,False,False
OADMET-0006009,COc1ccc2c(c1)CC(c1nnc(-c3ccccc3F)o1)CO2,BRJQPXHVMBFKHF-UHFFFAOYSA-N,4.11,0.22666667,5.6,5.5965655209704614,False,False,False
OADMET-0006008,CCc1nocc1Cn1cc(-c2ccccc2OC)nn1,KTRFMBNZWVWXQT-UHFFFAOYSA-N,4.81,0.22972973,5.47,5.860148617733658,False,False,False
OADMET-0006007,O=C(CN1CCN(C(=O)c2cccc(F)c2)CC1)NCCc1nc2ccccc2s1,GNBBTCYKQSSFLT-UHFFFAOYSA-N,4.99,0.20430107,5.3,5.278700718938746,False,False,False
OADMET-0006006,CC(c1cccc(S(N)(=O)=O)c1)N(C)C(=O)CN1C(=O)CCOc2ccccc21,CRNAAZGXZRHCCN-UHFFFAOYSA-N,4.81,0.23076923,4.89,5.219816283521224,False,False,False
OADMET-0006005,CNC(=O)C(NC(=O)c1cc(C)ccc1O)c1ccccc1,DTRQURFJVCJMJR-UHFFFAOYSA-N,4.4,0.25,8.4,5.814981182579345,False,False,False
OADMET-0006004,O=C(C1CCCN(c2ncccc2C(F)(F)F)C1)N1CCC2(CC1)OCCO2,BPGJAWLUTONTJI-UHFFFAOYSA-N,4.69,0.27710843,6.1,5.441801913135248,False,False,False
OADMET-0006003,CCCCC(=O)N1CSCC1C(=O)N1CCC[C@]1(C)C(=O)OC,KCGMBWVZWPBPSF-PVQCJRHBSA-N,4.38,0.22222222,5.16,4.821004944498901,False,False,False
OADMET-0006002,Cc1ccccc1C(C)Cc1nc(-c2ncoc2C)no1,KFKHLPTZWBHJOA-UHFFFAOYSA-N,4.61,0.15492958,6.0,5.376716457994466,False,False,False
OADMET-0006001,CC1(C(=O)Nc2ncn(Cc3ccc(Cl)cc3)n2)CCCN(C(=O)c2ccccc2)C1,WDSKMZFCMRRIMY-UHFFFAOYSA-N,5.16,0.20652173,5.19,4.9967411847686725,False,False,False
OADMET-0006000,O=C(NCC1(c2cccc(Cl)c2)CCOCC1)C(O)C1CCCCC1,KMTIPWBQZBWWMR-UHFFFAOYSA-N,5.22,0.22727273,5.22,5.155159459709425,False,False,False
OADMET-0005999,Cc1csc(C(O)(CC(=O)N2CCC(c3ccccc3C)CC2)C(F)(F)F)n1,NJZGQVIBLMPPCR-UHFFFAOYSA-N,4.98,0.21794872,5.15,5.476236546827306,False,False,False
OADMET-0005998,CNC(=O)c1ccc(CN(C)C(=O)NC2CCCN(c3cccc(F)c3)C2)cc1,NGLQWYBBWZPWAG-UHFFFAOYSA-N,4.83,0.22429906,5.56,5.077578665983679,False,False,False
OADMET-0005997,CCN(Cc1ccc2c(c1)OCO2)C(=O)NCc1nnc2n1CCCCC2,QUBDEYFKIBCNDL-UHFFFAOYSA-N,5.11,0.2,4.5,4.813702849166798,False,False,False
OADMET-0005996,CN(C)C(=O)C(Cc1ccccc1)NCc1cccc2[nH]ccc12,QWDKJZBBOMAQCR-UHFFFAOYSA-N,4.85,0.22826087,5.36,5.188097803423002,False,False,False
OADMET-0005995,CC(C)(C)c1ccc(Cl)cc1NC(=O)c1ccn(C2CCOCC2)n1,ZHLGLFRMXKKERX-UHFFFAOYSA-N,5.1,0.2278481,5.0,5.680023144867437,False,False,False
OADMET-0005994,C=C1CC(C)(C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C2(C)CC(=C)C2)C1,JOFUTBDMKVMOOU-CALCHBBNSA-N,5.16,0.1969697,5.57,5.096132281297009,False,False,False
OADMET-0005993,Cn1c(-c2nc(C3(c4ccc(F)cc4)CCC3)no2)cccc1=O,MZCSBMOLDFPPDR-UHFFFAOYSA-N,5.08,0.23880596,6.12,6.084256194749794,False,False,False
OADMET-0005992,COc1cc(C(=O)Nc2cc(C(F)(F)F)n(C)n2)ccc1C,BLHWMBAQHCSKAB-UHFFFAOYSA-N,4.56,0.2631579,5.8,6.107599359236779,False,False,False
OADMET-0005991,COc1ccc2[nH]nc(NC(=O)C3(c4ccccc4)CCCO3)c2c1,DHIYDXIHBDUGDX-UHFFFAOYSA-N,4.65,0.25333333,5.0,5.436697573846881,False,False,False
OADMET-0005990,CC(=O)NCc1ccc(-c2csc(C3CCCN(C(C)=O)C3)n2)s1,LHKGPFMICWFOOM-UHFFFAOYSA-N,4.84,0.19736843,5.16,4.9492479747179345,False,False,False
OADMET-0005989,COc1ncccc1C(=O)NC1(c2ccccc2F)CC1,GGVQQOGVQIQAAR-UHFFFAOYSA-N,4.7,0.28235295,5.8,5.533340408729266,False,False,False
OADMET-0005988,CSc1cc2c(cc1NC(=O)N1CCCC3(CCOCC3)C1)OCCO2,GDPHPXILXSNLGE-UHFFFAOYSA-N,4.52,0.17333333,5.16,5.572210196770664,False,False,False
OADMET-0005987,COC1CCCN(CC(=O)Nc2cccc(C(F)(F)F)c2)C1,DPFVVBQNKCDSNR-UHFFFAOYSA-N,4.83,0.27722773,5.89,6.09741711313913,False,False,False
OADMET-0005986,CCOc1c(Cl)cc(C(=O)NC(C)c2noc(-c3ccccc3)n2)cc1OC,MDPONAVVMIZZRN-UHFFFAOYSA-N,4.63,0.24444444,5.22,5.453721660184398,False,False,False
OADMET-0005985,C#Cc1ccnc(N(CC)C(=O)c2cccc(OCCOC)c2)c1,YQQUZYTYDNXBBK-UHFFFAOYSA-N,4.82,0.1923077,4.95,5.35745194077893,False,False,False
OADMET-0005984,O=C(c1c[nH]c2ncc(Br)cc12)N1CCCC(n2ccnc2)C1,XRRIJYHEWNMUKI-UHFFFAOYSA-N,5.35,0.1764706,5.48,5.493396416570693,False,False,False
OADMET-0005983,CN(C)C(=O)C(OC(=O)c1c(F)cc(O)cc1F)c1ccccc1,CIGHAQKPZGPAPZ-UHFFFAOYSA-N,4.56,0.21518987,5.5,5.984728317292371,False,False,False
OADMET-0005982,CN(Cc1nnc(-c2cc3c(s2)CCCC3)o1)c1ccn(C)n1,SHQPGMVQISGZIU-UHFFFAOYSA-N,4.42,0.16883117,4.61,5.527583541092279,False,False,False
OADMET-0005981,O=C(NCC1(c2ccccc2)CCCO1)c1ccc2[nH]cnc2c1,LLVYAIQFSXAVCB-UHFFFAOYSA-N,4.5,0.21875,5.8,4.990192641326029,False,False,False
OADMET-0005980,Cc1nn(C)c2nc(C3CC3)cc(C(=O)Nc3nccn(C)c3=O)c12,WJOWUCLGRHYEOJ-UHFFFAOYSA-N,4.42,0.20224719,4.89,5.2247079783108665,False,False,False
OADMET-0005979,Cc1cc(Br)ccc1N(C)S(=O)(=O)c1cnn(C(C)C)c1,BUYMAJHNBJERSN-UHFFFAOYSA-N,5.2,0.21052632,6.08,6.076483650793098,False,False,False
OADMET-0005978,Cc1cc(C)c(C(=O)N(Cc2cnn(C)c2)CC(C)C)c(C)n1,FWUMGTXLVMEXCH-UHFFFAOYSA-N,4.26,0.20930232,5.235,4.930064674179846,False,False,False
OADMET-0005977,O=C(Nc1nc(C2CC2)cs1)c1cn(CCc2ccccc2)nn1,RFZQAMFBWRUMHG-UHFFFAOYSA-N,5.36,0.28169015,4.5,5.050185686192672,False,False,False
OADMET-0005976,CC(C)(C)c1csc(C2CN(C(=O)c3cccc(C(=O)O)c3)CCO2)n1,ARYSIPZSJUJQCB-UHFFFAOYSA-N,5.0,0.20430107,6.42,5.956257493049948,False,False,False
OADMET-0005975,O=C(Nc1ccc(F)nc1)N1CCC(Cc2ccc(F)cc2)C1,SZZVSENBZVKFPD-UHFFFAOYSA-N,4.71,0.25373134,5.17,5.910668578615678,False,False,False
OADMET-0005974,COCCOc1cccc(C(=O)N(C)c2ccc(C(=O)OC)cc2)c1,SEHXKWXUVBWHEP-UHFFFAOYSA-N,4.06,0.21794872,5.72,5.006217798409128,False,False,False
OADMET-0005973,O=C(NCc1cccc(OC(F)(F)F)c1)NC1CC12CCOCC2,BDZAPJZYPBDZIC-UHFFFAOYSA-N,4.68,0.21875,4.82,5.598445676080388,False,False,False
OADMET-0005972,COc1ccc2c(ccn2CC(=O)NCC2(N3CCOCC3)CCCCC2)c1,PKLDRYFSCQCPHA-UHFFFAOYSA-N,5.11,0.2,4.925,5.405293663306769,False,False,False
OADMET-0005971,COc1ccccc1Nc1ncccc1C(=O)NCC1(C(N)=O)CCOCC1,AWNNRELKBGVQLD-UHFFFAOYSA-N,4.68,0.2236842,5.6,5.536587207259941,False,False,False
OADMET-0005970,Cc1cnn(C2CCN(C(=O)NCC(C)c3ccc(F)cc3)C2)c1,HZWUFADRSQZKAQ-UHFFFAOYSA-N,4.46,0.23404256,5.7,5.64775200219591,False,False,False
OADMET-0005969,Cc1oc2ccccc2c1C(=O)N1CCC(Cc2nc3ccccc3[nH]2)CC1,OTSKWPLKWNHXNG-UHFFFAOYSA-N,4.57,0.2159091,4.89,5.042525264717636,False,False,False
OADMET-0005968,CCc1nn(C)cc1NC(=O)C1CCN(c2ccccc2Cl)C1,FDQLURLBRFGFSN-UHFFFAOYSA-N,3.85,0.24096386,4.75,4.883529232716448,False,False,False
OADMET-0005967,O=S1(=O)CCC2(CCCN(Cc3cnc(-c4ccccc4)o3)C2)C1,VVXPMCBSWLQVDB-UHFFFAOYSA-N,5.2,0.19736843,5.46,4.934589607357414,False,False,False
OADMET-0005966,CC(Nc1cccc(NC(=O)CO)c1)c1nc(-c2ccccc2)no1,OJEODUWXYRVZBW-UHFFFAOYSA-N,4.34,0.23404256,5.7,4.859544215769919,False,False,False
OADMET-0005965,Cn1nnc(CNS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,IESMTEBHJZXUGB-UHFFFAOYSA-N,5.07,0.33333334,5.8,6.0920000076293945,False,True,False
OADMET-0005964,CC(c1nnnn1C)N1CCOC(c2ccc(Cl)c(Cl)c2)C1,UHXFCUVRFUJBRK-UHFFFAOYSA-N,5.22,0.1875,4.95,5.376307775379626,False,False,False
OADMET-0005963,COc1ncc(C(=O)N2CCC2c2cccc(F)c2)cc1Cl,RXKVFHONEONTJU-UHFFFAOYSA-N,5.0,0.2413793,5.72,5.70579677953296,False,False,False
OADMET-0005962,Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,ZSNITEJMAJILMZ-UHFFFAOYSA-N,4.51,0.16346154,5.36,5.3885158317507225,False,False,False
