candidate,threshold,gate,gamma,n_gate_nonzero,n_gate_full,mean_gate,mean_shift,mean_abs_shift,p90_abs_shift,max_abs_shift,corr_vs_anchor,path
ens_id51_top500_potent46_t35_hard_g35.csv,0.35,hard,0.35,284,284,0.5536062378167641,0.00043270610056022057,0.018495801282329343,0.053993973922815505,0.15906251436165045,0.9992283258566405,track1_activity/submissions/ens_id51_top500_potent46_t35_hard_g35.csv
ens_id51_top500_potent46_t35_hard_g50.csv,0.35,hard,0.5,284,284,0.5536062378167641,0.0006181515722288868,0.02642257326047049,0.07713424846116501,0.22723216337378638,0.998444117103713,track1_activity/submissions/ens_id51_top500_potent46_t35_hard_g50.csv
ens_id51_top500_potent46_t35_soft_g15.csv,0.35,soft,0.15,284,176,0.4916184401651572,0.0003693152487960884,0.007093765596183344,0.02162533693689324,0.06816964901213592,0.999878501020117,track1_activity/submissions/ens_id51_top500_potent46_t35_soft_g15.csv
ens_id51_top500_potent46_t35_soft_g25.csv,0.35,soft,0.25,284,176,0.4916184401651572,0.0006155254146601472,0.011822942660305574,0.0360422282281554,0.11361608168689319,0.9996648422611609,track1_activity/submissions/ens_id51_top500_potent46_t35_soft_g25.csv
ens_id51_top500_potent46_t35_soft_g35.csv,0.35,soft,0.35,284,176,0.4916184401651572,0.0008617355805242063,0.0165521197244278,0.050459119519417554,0.15906251436165045,0.9993477313616915,track1_activity/submissions/ens_id51_top500_potent46_t35_soft_g35.csv
ens_id51_top500_potent46_t35_soft_g50.csv,0.35,soft,0.5,284,176,0.4916184401651572,0.0012310508293202943,0.023645885320611147,0.0720844564563108,0.22723216337378638,0.9986832401339375,track1_activity/submissions/ens_id51_top500_potent46_t35_soft_g50.csv
ens_id51_top500_potent46_t40_hard_g15.csv,0.4,hard,0.15,278,278,0.5419103313840156,0.0002582785754272533,0.0078080422636121055,0.023085690964077685,0.06816964901213592,0.9998567062847323,track1_activity/submissions/ens_id51_top500_potent46_t40_hard_g15.csv
ens_id51_top500_potent46_t40_hard_g25.csv,0.4,hard,0.25,278,278,0.5419103313840156,0.0004304642923787556,0.013013403772686841,0.03847615160679614,0.11361608168689319,0.9996049354667979,track1_activity/submissions/ens_id51_top500_potent46_t40_hard_g25.csv
ens_id51_top500_potent46_t40_hard_g35.csv,0.4,hard,0.35,278,278,0.5419103313840156,0.000602650009330258,0.01821876528176158,0.0538666122495146,0.15906251436165045,0.9992315791032854,track1_activity/submissions/ens_id51_top500_potent46_t40_hard_g35.csv
ens_id51_top500_potent46_t40_hard_g50.csv,0.4,hard,0.5,278,278,0.5419103313840156,0.0008609285847575112,0.026026807545373683,0.07695230321359228,0.22723216337378638,0.9984501438295588,track1_activity/submissions/ens_id51_top500_potent46_t40_hard_g50.csv
ens_id51_top500_potent46_t40_soft_g15.csv,0.4,soft,0.15,278,81,0.38896374968912323,0.00045988601797097487,0.005641946918311077,0.016706543047572707,0.06784960752684674,0.9999113146801765,track1_activity/submissions/ens_id51_top500_potent46_t40_soft_g15.csv
ens_id51_top500_potent46_t40_soft_g25.csv,0.4,soft,0.25,278,81,0.38896374968912323,0.0007664766966182915,0.009403244863851795,0.02784423841262118,0.11308267921141123,0.999755075965851,track1_activity/submissions/ens_id51_top500_potent46_t40_soft_g25.csv
ens_id51_top500_potent46_t40_soft_g35.csv,0.4,soft,0.35,278,81,0.38896374968912323,0.0010730673752656083,0.013164542809392513,0.038981933777669654,0.15831575089597572,0.9995227710856558,track1_activity/submissions/ens_id51_top500_potent46_t40_soft_g35.csv
ens_id51_top500_potent46_t40_soft_g50.csv,0.4,soft,0.5,278,81,0.38896374968912323,0.001532953393236583,0.01880648972770359,0.05568847682524236,0.22616535842282245,0.9990348139962446,track1_activity/submissions/ens_id51_top500_potent46_t40_soft_g50.csv
