compound_id,num_heavy_atoms,amw,num_rings,train_pec50,train_emax_vs_pos_ctrl,counter_pec50,b2_pocket_distance_a,inchikey,smiles
1576,123,1736.18505859375,14,3.27,4.99,2.14,4.894873621795411,SPBDXSGPUHCETR-POHIFAEDSA-N,CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3C(C)=CC[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
1585,85,1202.635009765625,1,3.27,0.697,1.81,3.446658439379626,PMATZTZNYRCHOR-CGLBZJNRSA-N,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
1601,52,749.9559936523438,7,2.92,1.54,2.1,1.7852362416260994,JTZZSQYMACOLNN-JMSVMWJJSA-N,COC1=CC=C2C(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5C=CCCCCN(C)C(=O)[C@@H]4C3)=CC(C3=NC(C(C)C)=CS3)=NC2=C1C
1657,32,678.4910278320312,1,2.54,0.776,2.1,,AUJRCFUBUPVWSZ-XTZHGVARSA-M,CC[P](CC)(CC)=[Au][S][C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
1800,58,807.8900146484375,6,2.45,1.17,3.09,1.865893254903749,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C[C@@](O)([C@@H](OC(=O)C4=CC=CC=C4)[C@H]21)C3(C)C
1692,61,868.4569702148438,8,2.4,0.748,3.04,3.2341397881781906,LQBVNQSMGBZMKD-UHFFFAOYSA-N,CC1(C)CCC(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(NCC5CCOCC5)C([N+](=O)[O-])=C4)C(OC4=CN=C5NC=CC5=C4)=C3)CC2)=C(C2=CC=C(Cl)C=C2)C1
1798,68,958.239990234375,4,2.04,1.14,3.25,3.8999322638566567,HKVAMNSJSFKALM-DHGBBOBXSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C
1602,50,693.7319946289062,6,2.02,1.12,2.08,2.882527048878761,MBBCVAKAJPKAKM-UHFFFAOYSA-N,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)C3=CC=CC=C3C3=CC=CC=C32)CC1)C1=CC=CC=C1C1=CC=C(C(F)(F)F)C=C1
1708,20,613.9149780273438,1,1.98,1.22,1.97,1.400956551068858,YVPYQUNUQOZFHG-UHFFFAOYSA-N,CC(=O)NC1=C(I)C(NC(C)=O)=C(I)C(C(=O)O)=C1I
1644,42,602.5850219726562,4,1.86,1.22,3.07,3.4809623787409887,RWWYLEGWBNMMLJ-YSOARWBDSA-N,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(C2=CC=C3C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=CC=CC=C1
