pool_idx,compound_id,molecule_name,smiles,pec50,source,true_bin,no_htchem_pred,htchem_w0p1_pred,htchem_w0p3_pred,htchem_w0p5_pred,htchem_w1p0_pred
22,23,OADMET-0006067,COc1cc(NCCNC(=O)c2cnn3c2NCCC3)cc(OC)c1,4.74,train,4to5,4.666281853615062,4.625498630941579,4.524314637810555,4.529307712956993,4.587794697253527
23,24,OADMET-0006066,O=C(NCc1c[nH]c(=O)c2ccccc12)N1CC2(CC=CC2)C1c1ccccc1,5.02,train,5to6,4.715863574128237,4.8388137075674,4.842456085303623,4.9187712015944145,4.634993790674113
24,25,OADMET-0006065,Cc1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CC3(CCC3)C2)c(C)cc1Cl,5.2,train,5to6,5.188421022508863,4.929547853738759,5.0795521023175345,5.0916588734647386,5.007608931928946
25,26,OADMET-0006064,CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1,4.61,train,4to5,4.035919801288742,4.251552886411597,4.174677274358476,3.983713198850645,4.113107281748817
26,27,OADMET-0006063,CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC,5.44,train,5to6,5.106305841374348,5.1337710584676755,5.202646797730399,5.1345049599812045,5.059548606144376
27,28,OADMET-0006062,O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)c1cnc2ccccc2c1,4.81,train,4to5,4.567767371122219,4.3876177746346245,4.520192139986609,4.414834873951991,4.507023156274019
28,29,OADMET-0006061,Cc1nccn1-c1ncccc1CNC1CCCc2ccc(F)cc21,4.69,train,4to5,4.954738580145242,4.976527406296124,5.022303596975888,4.885671560476124,5.108569519282923
29,30,OADMET-0006060,CCn1ccnc1[C@H]1OCCC[C@@H]1NC(=O)c1ccc(Br)o1,4.87,train,4to5,4.963108636607134,4.88847724709503,4.859950593079417,4.7120337994223656,4.745570045256547
30,31,OADMET-0006059,CCC(=O)NC(C(=O)N1CC=C(c2cccs2)CC1)c1ccccc1,4.45,train,4to5,4.873982730055192,4.767317033111129,4.689741532769956,4.741883720325285,4.909996753562391
31,32,OADMET-0006058,O=C(NC1(c2c(F)cccc2F)CCC1)C1CNCc2ccccc21,5.26,train,5to6,5.138594960941453,5.113383061920053,5.161999241946106,5.115289041684838,4.994892460559469
32,33,OADMET-0006057,CCOc1ccc(C(=O)N(C)CCc2ccc(O)c(OC)c2)cc1C,4.48,train,4to5,4.583074417609121,4.596541104301018,4.579088831978136,4.611318319455931,4.468344926325916
33,34,OADMET-0006056,COC(=O)[C@H]1[C@H]2CC[C@H]2CN1C(=O)CCc1n[nH]c2ccccc12,4.58,train,4to5,4.461257050544311,4.510210966832102,4.38085384368861,4.291916375124572,4.232498376361073
34,35,OADMET-0006055,CC(C)Cn1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)cn1,4.95,train,4to5,4.809361900467166,4.815802390576812,4.824880085403496,4.914925943505559,4.779520253530291
35,36,OADMET-0006054,Cc1cnn(C)c1S(=O)(=O)N(C)CCNc1ccccn1,4.68,train,4to5,4.307890825725432,4.183478480570155,4.330863285804572,4.230730266761167,4.213831807078304
36,37,OADMET-0006053,Cc1cccc(C2CCCN2C(=O)CCn2c(=O)n(C)c3ccccc32)n1,5.31,train,5to6,4.888273687001587,4.811451186254046,4.730059515589098,4.903820448169881,4.862667531024442
37,38,OADMET-0006052,CCN1N=C(c2ccccc2)C(C(=O)Nc2ccccc2F)C1=O,4.6,train,4to5,5.060912740821701,5.1002811152192,4.926503987961621,4.937542446658579,4.8830410187894975
38,39,OADMET-0006051,CCCOC1(c2noc(-c3cc(=O)[nH]c(C4CC4)n3)n2)CCCCC1,5.11,train,5to6,4.346627083280615,4.36744448986275,4.3886761027735055,4.4188153492609645,4.498229315284378
39,40,OADMET-0006050,O=C1NC(Cc2ccccn2)C(=O)N1CCc1cccc2cccnc12,5.18,train,5to6,4.734174737928333,4.87017607273845,4.74151226147329,4.811938607887471,4.692112417816652
40,41,OADMET-0006049,CC(Sc1nnc(-c2c[nH]c3ccccc23)o1)C(=O)NCC(F)(F)F,4.85,train,4to5,4.950122772377893,4.785995317674329,4.797277306759549,4.84646682662886,4.784977151169395
41,42,OADMET-0006048,CN(C)c1cccc(S(=O)(=O)N2CCN(c3cnccn3)CC2)c1,4.99,train,4to5,4.169700395978178,4.117443063569773,4.407200683323609,4.725509864313088,4.8378265962675675
42,43,OADMET-0006047,COc1ccc(CC(=O)NC(c2ccc(F)c(F)c2)C(C)(C)N2CCCC2)cc1,4.93,train,4to5,5.06877261939382,5.086269598097689,5.088088295031949,5.081236495527265,5.216035403704595
43,44,OADMET-0006046,CNC(=O)c1ncoc1C1C2CC1N(C(=O)Cc1ccc(Cl)cc1Cl)C2,5.13,train,5to6,4.368249833293516,4.2211046455787855,4.328624622665241,4.249805512437995,4.380193293174618
44,45,OADMET-0006045,O=C(Cc1noc2ccccc12)NC1CCCN(Cc2ccc(F)cc2F)C1=O,5.42,train,5to6,5.158272600312499,5.067847987328381,5.197015020328969,5.069191061679376,5.083639081582715
45,46,OADMET-0006044,C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,4.93,train,4to5,3.703707651424991,3.7828667834566025,3.889738040257524,3.866478535786633,3.6927736064701975
46,47,OADMET-0006043,O=C1CCCN1CC(NCc1n[nH]c2ccccc12)c1ccccc1,4.72,train,4to5,5.10361046455263,5.029958476321416,4.924734119484272,4.99966738909031,5.091065215853263
47,48,OADMET-0006042,COC1(C)CCCN(C(=O)c2ncccc2NCC2CCC2)CC1,5.24,train,5to6,5.245010149713705,5.305796622685595,5.205290737452574,5.203523974120417,5.247160557549295
48,49,OADMET-0006041,COc1ccc2nc(C(=O)N(C)CCc3ccc(F)cc3)ccc2c1,5.09,train,5to6,4.44816366529156,4.3502333632645325,4.526134961193327,4.412219422119923,4.498225771282266
49,50,OADMET-0006040,CCOC(=O)c1c(NC(=O)CN(C)Cc2ccon2)sc(C(N)=O)c1C,5.3,train,5to6,4.210209657076343,4.146937611671524,4.2658810585643225,4.180634996101359,4.050800892305627
50,51,OADMET-0006039,O=C(c1ccc(-c2nc3ccccc3s2)o1)N1CCCC(N2CCNC2=O)C1,4.18,train,4to5,4.753571209436876,4.544377965327047,4.560024376656895,4.629694086108829,4.642554082992509
51,52,OADMET-0006038,O=C1c2ccccc2CN1CC(=O)N1CCCC1c1nc2ccccc2s1,4.94,train,4to5,4.961599293159271,4.941849954129227,5.028615270190146,4.961528405814836,5.116156529639793
52,53,OADMET-0006037,Cc1cccn2c(=O)cc(Cn3cc(C(O)c4ccccc4)nn3)nc12,4.74,train,4to5,4.924865932334,4.958793170625356,4.950331967524898,4.990173066753334,4.995559811655644
53,54,OADMET-0006036,CC(C)Cn1cccc(-c2nc(-c3coc(C4CCC4)n3)no2)c1=O,5.2,train,5to6,4.766722747545067,4.828180326827589,4.88601315520904,4.858404444435868,4.884486313294165
54,55,OADMET-0006035,N#Cc1ccc(CCSc2ccc(C(=O)N3CCCC3)cn2)cc1,5.53,train,5to6,4.707821399696347,4.633206980991133,4.392759869247682,4.605836416908419,4.567393722301687
55,56,OADMET-0006034,CC1(NC(=O)c2ccc(=O)n(-c3ccccc3)n2)CCCCC1,4.93,train,4to5,5.128035467288526,5.100575581595699,5.201677253092296,5.198806950288941,5.215133198326532
56,57,OADMET-0006033,CC1c2c(F)cccc2CCN1C(=O)Nc1ccc(-n2cccn2)nc1,5.14,train,5to6,4.48901670692323,4.463597438023461,4.369652688746347,4.4301463698702115,4.590465212627478
57,58,OADMET-0006032,CON(C)C(=O)c1cc(-c2cccnc2)nc2c1cnn2Cc1ccco1,4.76,train,4to5,4.714967650706934,4.6420493464349555,4.506937420643376,4.582425053680605,4.527491136119148
58,59,OADMET-0006031,CC(C)(C)OC(=O)NCc1cc(-c2nc(-c3cnc4cnccn34)no2)ccn1,4.42,train,4to5,4.465403893454328,4.266713625025296,4.362064563343995,4.495870200405478,4.489456424223468
59,60,OADMET-0006030,CC1(C)CN(c2cc(-c3ccccc3)nc3ncnn23)CC2(CCOC2)O1,5.06,train,5to6,4.499974678597562,4.291459999132401,4.4371517291275895,4.52844303816457,4.402453446474058
60,61,OADMET-0006029,Cc1c(CNC(=O)C(c2ccccc2)N2CCC(O)CC2)oc2ccc(F)cc12,4.74,train,4to5,5.075207307955143,5.042189388365417,5.139812319773906,5.067234073148561,5.100508047919306
61,62,OADMET-0006028,Cc1cc(C(=O)NC2(c3ccccn3)CC2)nn1-c1cccc(Cl)c1,5.23,train,5to6,5.1604947288986525,5.004151891391451,4.998919058242175,5.036064213909554,5.086245796502204
62,63,OADMET-0006027,COCc1cc(Cn2cc(C34CC5CC(CC(C5)C3)C4)nn2)no1,5.23,train,5to6,4.192141844347677,4.030601499734608,4.133350146189906,4.023400706059442,3.8943651301032696
63,64,OADMET-0006026,O=C(Nc1cc2n(n1)CCCC2)c1cccc(C2CCOC2)c1,4.64,train,4to5,4.683244456249607,4.630210320817987,4.706154489599696,4.732249346628721,4.705722194624541
64,65,OADMET-0006025,Cc1conc1CS(=O)(=O)N(C)C(c1ccccc1)C(F)(F)F,5.22,train,5to6,4.884015077487934,4.920291362497741,4.958768427607392,5.08232220163915,5.087183305437261
65,66,OADMET-0006024,Cc1ccc(N(C)C(=O)[C@H]2C[C@@H]2c2ccc(OC(F)F)cc2)nn1,4.61,train,4to5,4.732965260074044,4.733298242550665,4.711510606195364,4.787301932332576,4.866016393689444
66,67,OADMET-0006023,CCc1ccc(C2COCCN2S(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)o1,4.98,train,4to5,4.875366621169702,4.801229744033863,4.674235543356906,4.816053643423243,4.741899306502513
67,68,OADMET-0006022,Cn1nccc1C12CCC(C1)C2C(=O)NCCCc1c[nH]nc1C(F)(F)F,4.97,train,4to5,4.696920247277267,4.607348298923637,4.677893225873378,4.697067849581425,4.599640646226662
68,69,OADMET-0006021,Cc1cccc2cc(C(=O)N3CCCN(S(C)(=O)=O)CC3)oc12,4.93,train,4to5,5.042018834685988,4.988384191294454,4.960401603220602,4.896014018392985,4.966638380279408
69,70,OADMET-0006020,CC1(c2nc(-c3csc(C(F)(F)F)c3)no2)CCNC(=O)C1,5.07,train,5to6,5.100372490773299,4.993793568040487,5.098434385332907,4.852662362699694,4.805233047780563
70,71,OADMET-0006019,O=C(NCCc1c[nH]c2cc(F)ccc12)C1COc2ccccc21,4.73,train,4to5,4.6732934652006275,4.734141708318308,4.787836392744016,4.761180420532688,4.727422850173417
71,72,OADMET-0006018,Cc1ccc(CNC(=O)N2CCCN(S(C)(=O)=O)CC2)nc1C,4.63,train,4to5,4.605080710866023,4.703821487709504,4.706978660820409,4.711730880575704,4.52851023096903
72,73,OADMET-0006017,COc1ccc2nc(CN3CCCC(N4CCCC4=O)CC3)sc2c1,5.16,train,5to6,4.133017954325067,4.1267687835172415,3.9891565214006564,4.218609163012207,4.149648932201451
73,74,OADMET-0006016,CC(C)c1ncncc1C(=O)Nc1nc2ccc(S(=O)(=O)N3CCCC3)cc2s1,4.26,train,4to5,4.7487355783198355,4.676956531002745,4.580502341859076,4.685703196184411,4.637594659244222
74,75,OADMET-0006015,CCn1c(=O)[nH]c(=O)c2c(C(=O)Nc3cc(-c4ccco4)nn3C)cc(C3CC3)nc21,4.51,train,4to5,4.307328737772129,4.295170014505667,4.336551930523925,4.236648839741934,4.485163521019606
75,76,OADMET-0006014,Cc1noc(C)c1-c1cn(C(C(=O)N(C)C)c2ccccc2)nn1,5.39,train,5to6,4.855454382123703,4.920833186784758,4.859241476111215,4.9334537906163884,4.8933232887784035
76,77,OADMET-0006013,NS(=O)(=O)N1CCCN(c2nc(-c3ccncc3)nc3ccccc23)CC1,4.34,train,4to5,4.797659220072761,4.876540022735037,4.896587005022386,4.791211832587302,4.8094072859807815
77,78,OADMET-0006012,CCC(NC(CO)Cc1ccc(F)cc1)c1ccccc1F,4.93,train,4to5,4.934725401451468,4.805048373828845,4.842086159518828,4.7563002086266915,4.69146290771209
78,79,OADMET-0006011,c1ccc(-c2cc(NC3COC(C4CC4)C3)n3nccc3n2)cc1,5.11,train,5to6,4.742468995854793,4.713202916235381,4.701109822779799,4.653610591958993,4.537628461020292
79,80,OADMET-0006010,CCn1c(-c2cc(C)oc2C)nnc1N(C)CCCSC,5.28,train,5to6,4.485076778262099,4.332575651464982,4.218561571524828,4.0735552863791815,4.371625646095683
80,81,OADMET-0006009,COc1ccc2c(c1)CC(c1nnc(-c3ccccc3F)o1)CO2,4.11,train,4to5,4.823770091082155,4.751130292655153,4.69095044406907,4.670589473289308,4.656660227513654
81,82,OADMET-0006008,CCc1nocc1Cn1cc(-c2ccccc2OC)nn1,4.81,train,4to5,4.415258824784663,4.3734224229682015,4.4478168673916905,4.446723292980489,4.455130562895312
82,83,OADMET-0006007,O=C(CN1CCN(C(=O)c2cccc(F)c2)CC1)NCCc1nc2ccccc2s1,4.99,train,4to5,4.0678671106061115,3.8891747703199693,3.8240999721833138,3.8246744955949,3.7887293827475936
83,84,OADMET-0006006,CC(c1cccc(S(N)(=O)=O)c1)N(C)C(=O)CN1C(=O)CCOc2ccccc21,4.81,train,4to5,4.9688155406246945,4.89480087064634,4.964773015231735,4.8549304527449,4.934573004762944
84,85,OADMET-0006005,CNC(=O)C(NC(=O)c1cc(C)ccc1O)c1ccccc1,4.4,train,4to5,4.417938533393795,4.477618602431957,4.5663200041473,4.439668788677957,4.322683994417007
85,86,OADMET-0006004,O=C(C1CCCN(c2ncccc2C(F)(F)F)C1)N1CCC2(CC1)OCCO2,4.69,train,4to5,4.8158234636608475,4.633690624885667,4.823643786214206,4.710854787217972,4.666206667581383
86,87,OADMET-0006003,CCCCC(=O)N1CSCC1C(=O)N1CCC[C@]1(C)C(=O)OC,4.38,train,4to5,5.175637358435867,4.918673642474534,4.915218873183049,5.017060496915086,4.936115905210445
87,88,OADMET-0006002,Cc1ccccc1C(C)Cc1nc(-c2ncoc2C)no1,4.61,train,4to5,4.758644632320411,4.676397278917543,4.669459536198905,4.714571795704868,4.719167467289478
88,89,OADMET-0006001,CC1(C(=O)Nc2ncn(Cc3ccc(Cl)cc3)n2)CCCN(C(=O)c2ccccc2)C1,5.16,train,5to6,4.945858323968846,4.749642649215202,4.89693534889324,5.051103038898426,4.922344379909563
89,90,OADMET-0006000,O=C(NCC1(c2cccc(Cl)c2)CCOCC1)C(O)C1CCCCC1,5.22,train,5to6,5.457227972890788,5.429852642902778,5.433536502894811,5.469889367281296,5.436996208615258
90,91,OADMET-0005999,Cc1csc(C(O)(CC(=O)N2CCC(c3ccccc3C)CC2)C(F)(F)F)n1,4.98,train,4to5,4.884135137130524,4.891311017606706,5.040174156827501,5.06594732273518,4.996292254500887
91,92,OADMET-0005998,CNC(=O)c1ccc(CN(C)C(=O)NC2CCCN(c3cccc(F)c3)C2)cc1,4.83,train,4to5,4.496857918945758,4.3712927949522005,4.635780458485367,4.54784732923214,4.614129287684743
92,93,OADMET-0005997,CCN(Cc1ccc2c(c1)OCO2)C(=O)NCc1nnc2n1CCCCC2,5.11,train,5to6,4.7784825742825765,4.7007829076374374,4.7407203905282165,4.914255636370448,4.819176220422088
93,94,OADMET-0005996,CN(C)C(=O)C(Cc1ccccc1)NCc1cccc2[nH]ccc12,4.85,train,4to5,5.333886413233395,5.161029795930528,5.225729934074437,5.103244310168996,5.091469687754261
94,95,OADMET-0005995,CC(C)(C)c1ccc(Cl)cc1NC(=O)c1ccn(C2CCOCC2)n1,5.1,train,5to6,4.958327713905279,4.923180142841053,5.150525787511744,5.1593224346395745,5.208284351245606
95,96,OADMET-0005994,C=C1CC(C)(C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C2(C)CC(=C)C2)C1,5.16,train,5to6,4.834865399289159,4.772449363313033,4.915230309383999,4.9332857942954815,4.78698639792593
96,97,OADMET-0005993,Cn1c(-c2nc(C3(c4ccc(F)cc4)CCC3)no2)cccc1=O,5.08,train,5to6,5.084011206828139,4.989152986184637,4.973017394515144,5.078197671875617,4.942857441513426
97,98,OADMET-0005992,COc1cc(C(=O)Nc2cc(C(F)(F)F)n(C)n2)ccc1C,4.56,train,4to5,4.662125428598007,4.791530978888255,4.874769806242602,4.709902301126992,4.830126901611138
98,99,OADMET-0005991,COc1ccc2[nH]nc(NC(=O)C3(c4ccccc4)CCCO3)c2c1,4.65,train,4to5,4.877240619541436,4.906826605497763,4.9445901294293115,4.909259246288264,4.855494526949094
99,100,OADMET-0005990,CC(=O)NCc1ccc(-c2csc(C3CCCN(C(C)=O)C3)n2)s1,4.84,train,4to5,4.573376073936102,4.385374297365738,4.445721154945605,4.609089986118901,4.505528859279712
100,101,OADMET-0005989,COc1ncccc1C(=O)NC1(c2ccccc2F)CC1,4.7,train,4to5,4.885485126549031,4.904334503493643,4.84624444941149,4.851932319964407,4.877132589699766
101,102,OADMET-0005988,CSc1cc2c(cc1NC(=O)N1CCCC3(CCOCC3)C1)OCCO2,4.52,train,4to5,4.9438050082294165,4.815136199080546,4.877915875048623,4.897315253013389,5.004782208794469
102,103,OADMET-0005987,COC1CCCN(CC(=O)Nc2cccc(C(F)(F)F)c2)C1,4.83,train,4to5,4.854596270687704,4.756692481924637,4.861166045449509,4.844575229475077,4.900709353540773
103,104,OADMET-0005986,CCOc1c(Cl)cc(C(=O)NC(C)c2noc(-c3ccccc3)n2)cc1OC,4.63,train,4to5,5.112196171737594,5.003269471373288,5.088691152087131,4.924607347301717,4.939024567235478
104,105,OADMET-0005985,C#Cc1ccnc(N(CC)C(=O)c2cccc(OCCOC)c2)c1,4.82,train,4to5,4.460944354387288,4.338581426815862,4.33856796648871,4.217541248359659,4.28106340008847
105,106,OADMET-0005984,O=C(c1c[nH]c2ncc(Br)cc12)N1CCCC(n2ccnc2)C1,5.35,train,5to6,4.033340955272611,4.122805626153015,4.120803873333175,4.207234526078997,4.135607927171009
106,107,OADMET-0005983,CN(C)C(=O)C(OC(=O)c1c(F)cc(O)cc1F)c1ccccc1,4.56,train,4to5,5.033503012800105,4.96857409185682,4.890990857334676,4.632531965705795,4.666503578884922
107,108,OADMET-0005982,CN(Cc1nnc(-c2cc3c(s2)CCCC3)o1)c1ccn(C)n1,4.42,train,4to5,4.893722797582074,4.783351907499923,4.916568532898924,4.851826826303144,4.851943513321731
108,109,OADMET-0005981,O=C(NCC1(c2ccccc2)CCCO1)c1ccc2[nH]cnc2c1,4.5,train,4to5,4.6499921633793,4.620987575308136,4.502356720143745,4.460198434064833,4.659926530141061
109,110,OADMET-0005980,Cc1nn(C)c2nc(C3CC3)cc(C(=O)Nc3nccn(C)c3=O)c12,4.42,train,4to5,4.2418693201648665,4.3890187507401635,4.2292391268907314,4.066747187972767,4.222727879893136
110,111,OADMET-0005979,Cc1cc(Br)ccc1N(C)S(=O)(=O)c1cnn(C(C)C)c1,5.2,train,5to6,5.02552167843361,4.945113389778162,5.055451120334879,4.879871941327753,5.188630743752402
111,112,OADMET-0005978,Cc1cc(C)c(C(=O)N(Cc2cnn(C)c2)CC(C)C)c(C)n1,4.26,train,4to5,4.9791058746103145,4.967169343486801,4.841518186384273,4.967726162505592,4.8599556654522535
112,113,OADMET-0005977,O=C(Nc1nc(C2CC2)cs1)c1cn(CCc2ccccc2)nn1,5.36,train,5to6,4.731830435273944,4.731748590878667,4.632946843741117,4.706995971203139,4.646187465783962
113,114,OADMET-0005976,CC(C)(C)c1csc(C2CN(C(=O)c3cccc(C(=O)O)c3)CCO2)n1,5.0,train,4to5,4.3424395967327145,4.213516154717423,4.53120625675537,4.397783974698571,4.390547368136373
114,115,OADMET-0005975,O=C(Nc1ccc(F)nc1)N1CCC(Cc2ccc(F)cc2)C1,4.71,train,4to5,4.163505788083146,4.115958015096753,4.291131161403243,4.109458503151878,4.152490324573204
115,116,OADMET-0005974,COCCOc1cccc(C(=O)N(C)c2ccc(C(=O)OC)cc2)c1,4.06,train,4to5,4.540995488340337,4.247291787566445,4.242027616599181,4.225501328527374,4.224496924334393
116,117,OADMET-0005973,O=C(NCc1cccc(OC(F)(F)F)c1)NC1CC12CCOCC2,4.68,train,4to5,5.050400039269939,4.821312162544926,4.901334237818796,4.905150905378783,5.050429343849942
117,118,OADMET-0005972,COc1ccc2c(ccn2CC(=O)NCC2(N3CCOCC3)CCCCC2)c1,5.11,train,5to6,4.664355641725973,4.711905425146464,4.69679638062471,4.660963929337262,4.776589211649353
118,119,OADMET-0005971,COc1ccccc1Nc1ncccc1C(=O)NCC1(C(N)=O)CCOCC1,4.68,train,4to5,4.638725327369517,4.669056093903058,4.586753977851474,4.5807290956452285,4.552480584463616
119,120,OADMET-0005970,Cc1cnn(C2CCN(C(=O)NCC(C)c3ccc(F)cc3)C2)c1,4.46,train,4to5,4.444823678057418,4.530948130517792,4.592137276099992,4.4978905741503326,4.389275540403821
120,121,OADMET-0005969,Cc1oc2ccccc2c1C(=O)N1CCC(Cc2nc3ccccc3[nH]2)CC1,4.57,train,4to5,4.659474942469543,4.633313977627657,4.64238152499992,4.562360305808555,4.577632578956447
121,122,OADMET-0005968,CCc1nn(C)cc1NC(=O)C1CCN(c2ccccc2Cl)C1,3.85,train,3to4,4.935828988017224,4.8182821499976045,4.911874363907458,4.863671003917615,4.762972557148816
122,123,OADMET-0005967,O=S1(=O)CCC2(CCCN(Cc3cnc(-c4ccccc4)o3)C2)C1,5.2,train,5to6,4.53649519110521,4.6064487115924795,4.754773988651251,4.682171355529336,4.6899565737738635
123,124,OADMET-0005966,CC(Nc1cccc(NC(=O)CO)c1)c1nc(-c2ccccc2)no1,4.34,train,4to5,4.530751466261432,4.578553339426137,4.508348404172006,4.495251840403544,4.543266375176673
124,125,OADMET-0005965,Cn1nnc(CNS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,5.07,train,5to6,4.715339090902145,4.761299205397715,4.755810517423722,4.643921997524359,4.601813240098439
125,126,OADMET-0005964,CC(c1nnnn1C)N1CCOC(c2ccc(Cl)c(Cl)c2)C1,5.22,train,5to6,4.55691691376161,4.582217459553952,4.664345585476091,4.8269656781966095,4.639877940119109
126,127,OADMET-0005963,COc1ncc(C(=O)N2CCC2c2cccc(F)c2)cc1Cl,5.0,train,4to5,4.893053477220653,4.729079177059214,4.932307768131159,4.745722453296195,4.763968174760822
127,128,OADMET-0005962,Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,4.51,train,4to5,4.653229857548841,4.6047723259684545,4.5429298573850145,4.467298686385945,4.51457128241674
128,129,OADMET-0005961,COC(=O)c1cnc(NC2CCCCCN(C(=O)C3CCC3(F)F)C2)nc1,4.61,train,4to5,4.8523657613944815,4.818309459047433,4.9048306237610015,4.931035507109233,4.986752720958251
