compound,src_model,vina_affinity,rmsd_to_input,cnn_score,cnn_affinity,cnn_variance,refined_pdb
x00981-1,0,-5.70697,0.40482,0.95128,6.07389,0.4442,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00981-1/x00981-1_refined.pdb
x00982-1,0,-5.23083,0.52383,0.76604,4.61327,0.32434,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00982-1/x00982-1_refined.pdb
x00990-1,0,-7.44464,0.33643,0.67198,5.15259,0.00844,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00990-1/x00990-1_refined.pdb
x01009-1,0,-7.15204,0.4811,0.96147,6.26624,0.11516,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01009-1/x01009-1_refined.pdb
x01016-1,0,-6.67352,0.5783,0.79622,5.83569,0.05507,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01016-1/x01016-1_refined.pdb
x01039-1,0,-6.25434,0.86548,0.72856,5.22758,0.0747,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01039-1/x01039-1_refined.pdb
x01070-1,0,-6.86227,1.05659,0.52769,5.07959,0.08798,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01070-1/x01070-1_refined.pdb
x01105-1,0,-6.51439,1.27983,0.78736,5.62606,0.02369,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01105-1/x01105-1_refined.pdb
x01108-1,0,-7.47472,1.17003,0.66266,5.57433,0.00189,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01108-1/x01108-1_refined.pdb
x01111-1,0,-6.78738,1.07168,0.82525,5.8261,0.63733,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01111-1/x01111-1_refined.pdb
x01126-1,0,-6.65608,1.10596,0.57812,4.91969,0.25209,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01126-1/x01126-1_refined.pdb
x01130-1,0,-7.33198,0.37264,0.93511,5.72252,0.94358,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01130-1/x01130-1_refined.pdb
x01131-1,0,-7.02983,1.32382,0.63559,4.44286,0.22662,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01131-1/x01131-1_refined.pdb
x01217-1,0,-7.65329,1.11325,0.87987,5.64552,0.17803,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01217-1/x01217-1_refined.pdb
x01233-1,0,-6.46214,0.24673,0.83102,5.74121,0.76758,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01233-1/x01233-1_refined.pdb
x01234-1,0,-8.14739,0.3808,0.5984,5.78613,0.04967,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01234-1/x01234-1_refined.pdb
x01249-1,0,-6.76673,0.54639,0.83553,5.73663,1.22156,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01249-1/x01249-1_refined.pdb
x01260-1,0,-6.27431,0.28723,0.90044,5.48886,0.27659,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01260-1/x01260-1_refined.pdb
x01287-1,0,-5.86197,0.25906,0.84111,5.79201,1.9291,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01287-1/x01287-1_refined.pdb
x01295-1,0,-6.86663,0.4213,0.95089,6.37031,0.66285,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01295-1/x01295-1_refined.pdb
x01306-1,0,-7.29651,0.21427,0.92703,5.38025,0.49895,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01306-1/x01306-1_refined.pdb
x01325-1,0,-5.51427,0.96435,0.89329,6.80137,2.70381,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01325-1/x01325-1_refined.pdb
x01334-1,0,-7.39677,1.14055,0.82411,5.77997,0.32729,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01334-1/x01334-1_refined.pdb
x01358-1,0,-6.90677,1.09136,0.50075,5.12361,0.0056,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01358-1/x01358-1_refined.pdb
x01378-1,0,-5.59295,0.57453,0.69415,5.65419,0.03936,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01378-1/x01378-1_refined.pdb
x01382-1,0,-7.57346,0.98716,0.87271,5.51283,0.25355,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01382-1/x01382-1_refined.pdb
x01401-1,0,-5.80018,1.425,0.68326,4.53935,0.06076,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01401-1/x01401-1_refined.pdb
x01411-1,0,-8.14182,0.63572,0.95093,6.46372,0.64763,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01411-1/x01411-1_refined.pdb
x01415-1,0,-6.03841,0.45134,0.75417,5.24857,0.02961,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01415-1/x01415-1_refined.pdb
x01438-1,0,-6.44343,0.61942,0.4975,5.7703,0.16746,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01438-1/x01438-1_refined.pdb
x01464-1,0,-5.77439,0.92765,0.78816,4.71817,0.66571,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01464-1/x01464-1_refined.pdb
x01502-1,0,-7.49321,1.42774,0.41432,5.27773,0.1641,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01502-1/x01502-1_refined.pdb
x01511-1,0,-6.93856,0.44927,0.82995,4.88602,0.03054,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x01511-1/x01511-1_refined.pdb
x02691-1,0,-10.01408,0.54649,0.88549,7.61005,0.00762,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02691-1/x02691-1_refined.pdb
x02696-1,0,-7.53783,0.95028,0.74921,6.90434,0.06881,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02696-1/x02696-1_refined.pdb
x02698-1,0,-7.86421,0.5267,0.81166,7.5001,0.53958,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02698-1/x02698-1_refined.pdb
x02700-1,0,-8.29467,0.4093,0.93976,7.4302,0.05543,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02700-1/x02700-1_refined.pdb
x02704-1,0,-9.18627,0.52296,0.66237,7.20623,0.03061,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02704-1/x02704-1_refined.pdb
x02708-1,0,-8.67411,0.75794,0.61147,6.97588,0.04661,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02708-1/x02708-1_refined.pdb
x02715-1,0,-9.1142,0.37953,0.88189,8.05674,0.56881,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02715-1/x02715-1_refined.pdb
x02736-1,0,-9.01078,0.83317,0.82471,7.22726,0.01083,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02736-1/x02736-1_refined.pdb
x02742-1,0,-9.43036,0.45739,0.9047,6.84718,0.18838,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02742-1/x02742-1_refined.pdb
x02745-1,0,-10.35409,0.40516,0.94717,7.59094,0.13509,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02745-1/x02745-1_refined.pdb
x02746-1,0,-8.53694,1.56868,0.72642,6.94588,0.08404,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02746-1/x02746-1_refined.pdb
x02758-1,0,-11.14961,0.28905,0.79274,6.79421,0.09577,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02758-1/x02758-1_refined.pdb
x02776-1,0,-8.80346,0.41243,0.79163,6.71834,0.19029,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02776-1/x02776-1_refined.pdb
x02777-1,0,-8.32237,0.9694,0.84721,7.50434,0.20616,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02777-1/x02777-1_refined.pdb
x02782-1,0,-8.14556,0.7403,0.71637,6.83883,0.03975,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02782-1/x02782-1_refined.pdb
x02790-1,0,-9.09396,0.53319,0.93979,7.41347,0.15732,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02790-1/x02790-1_refined.pdb
x02792-1,0,-10.97956,0.26917,0.97564,7.26069,0.78891,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02792-1/x02792-1_refined.pdb
x02793-1,0,-9.33146,0.85881,0.77927,6.54591,0.30525,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02793-1/x02793-1_refined.pdb
x02797-1,0,-9.16834,0.54107,0.85871,7.23289,0.17499,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02797-1/x02797-1_refined.pdb
x02800-1,0,-8.53407,0.21054,0.84075,7.39995,0.11534,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02800-1/x02800-1_refined.pdb
x02806-1,0,-8.30585,0.68359,0.61325,6.31078,0.0433,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02806-1/x02806-1_refined.pdb
x02813-1,0,-8.615,1.04526,0.75814,6.75495,0.11549,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02813-1/x02813-1_refined.pdb
x02819-1,0,-7.55622,0.55704,0.77376,6.51627,0.47904,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02819-1/x02819-1_refined.pdb
x02828-1,0,-8.59009,0.3341,0.83989,7.18546,0.13662,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02828-1/x02828-1_refined.pdb
x02843-1,0,-9.09541,0.67959,0.8702,7.02892,0.00824,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02843-1/x02843-1_refined.pdb
x02848-1,0,-8.71949,1.23153,0.51104,7.10822,0.02667,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02848-1/x02848-1_refined.pdb
x02858-1,0,-9.72928,0.72532,0.83919,6.82979,0.02124,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02858-1/x02858-1_refined.pdb
x02859-1,0,-9.22631,0.91091,0.73837,7.26468,0.11153,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02859-1/x02859-1_refined.pdb
x02861-1,0,-8.5683,0.38618,0.4873,6.76599,0.98499,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02861-1/x02861-1_refined.pdb
x02865-1,0,-9.64508,0.454,0.69656,6.55835,0.03173,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02865-1/x02865-1_refined.pdb
x02872-1,0,-8.40897,0.77624,0.52273,6.3371,0.04302,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02872-1/x02872-1_refined.pdb
x02877-1,0,-10.24829,0.51773,0.9092,7.49745,0.00178,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02877-1/x02877-1_refined.pdb
x02878-1,0,-8.75784,0.78347,0.69095,6.61753,0.02818,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02878-1/x02878-1_refined.pdb
x02882-1,0,-7.96031,0.31911,0.79219,6.35693,0.1765,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02882-1/x02882-1_refined.pdb
x02904-1,0,-9.36528,0.69553,0.87052,7.06431,0.00248,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02904-1/x02904-1_refined.pdb
x02906-1,0,-8.18205,0.84314,0.52992,7.18248,0.05395,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02906-1/x02906-1_refined.pdb
x02909-1,0,-9.75197,0.54169,0.72221,7.23852,0.04688,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02909-1/x02909-1_refined.pdb
x02913-1,0,-6.88363,0.86452,0.78132,6.41349,0.00161,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02913-1/x02913-1_refined.pdb
x02914-1,0,-7.73291,0.70518,0.72105,6.98247,0.47791,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02914-1/x02914-1_refined.pdb
x02920-1,0,-7.68755,0.40849,0.89095,7.00674,0.2999,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02920-1/x02920-1_refined.pdb
x02962-1,0,-8.34559,0.61432,0.43736,6.45055,0.04163,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02962-1/x02962-1_refined.pdb
x02989-1,0,-8.5791,0.41693,0.83976,6.97338,0.43476,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x02989-1/x02989-1_refined.pdb
x03004-1,0,-9.37404,0.38301,0.75922,7.49575,0.00657,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03004-1/x03004-1_refined.pdb
x03006-1,0,-10.53221,0.36139,0.88393,7.61949,0.16136,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03006-1/x03006-1_refined.pdb
x03015-1,0,-10.10954,1.11425,0.80826,7.78175,0.07883,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03015-1/x03015-1_refined.pdb
x03026-1,0,-8.41707,0.63739,0.61241,6.12899,0.08237,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03026-1/x03026-1_refined.pdb
x03030-1,0,-8.97766,0.51178,0.75419,6.93648,0.16561,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03030-1/x03030-1_refined.pdb
x03033-1,0,-9.7723,0.31117,0.80301,6.44156,0.10328,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03033-1/x03033-1_refined.pdb
x03037-1,0,-9.46779,0.49911,0.94298,7.02051,0.00982,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03037-1/x03037-1_refined.pdb
x03039-1,0,-7.77575,1.07596,0.69267,6.52676,0.63181,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03039-1/x03039-1_refined.pdb
x03051-1,0,-8.8028,0.6701,0.52728,6.22691,0.32209,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03051-1/x03051-1_refined.pdb
x03055-1,0,-10.59244,1.19288,0.5614,6.69349,0.07806,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03055-1/x03055-1_refined.pdb
x03059-1,0,-9.77399,0.87389,0.43718,6.45287,0.0921,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03059-1/x03059-1_refined.pdb
x03063-1,0,-8.25548,0.53492,0.90534,7.83267,1.49879,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03063-1/x03063-1_refined.pdb
x03065-1,0,-8.05789,0.61604,0.63307,6.9272,0.17835,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03065-1/x03065-1_refined.pdb
x03080-1,0,-8.19208,0.5874,0.86129,6.84865,0.02247,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03080-1/x03080-1_refined.pdb
x03094-1,0,-9.42553,0.84978,0.75674,7.36281,0.31415,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03094-1/x03094-1_refined.pdb
x03096-1,0,-9.04581,1.62025,0.49767,6.62067,0.08077,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03096-1/x03096-1_refined.pdb
x03117-1,0,-9.47404,0.63488,0.8789,7.11556,0.25613,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03117-1/x03117-1_refined.pdb
x03123-1,0,-9.83698,0.98583,0.85858,7.00347,0.2367,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03123-1/x03123-1_refined.pdb
x03145-1,0,-8.03245,1.02174,0.35516,6.50604,0.66313,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03145-1/x03145-1_refined.pdb
x03147-1,0,-8.93026,1.05328,0.82379,7.07373,0.27739,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03147-1/x03147-1_refined.pdb
x03152-1,0,-9.78578,0.34612,0.80667,6.51101,0.20628,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03152-1/x03152-1_refined.pdb
x03161-1,0,-7.92214,0.84826,0.83899,7.09442,0.06555,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03161-1/x03161-1_refined.pdb
x03172-1,0,-8.35922,0.44933,0.58015,6.66575,0.07868,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03172-1/x03172-1_refined.pdb
x03179-1,0,-7.20763,0.51115,0.27318,6.52426,0.05493,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03179-1/x03179-1_refined.pdb
x03191-1,0,-9.77147,0.35843,0.75161,7.22129,0.0819,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03191-1/x03191-1_refined.pdb
x03194-1,0,-9.72042,0.50165,0.89604,7.12802,0.0557,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03194-1/x03194-1_refined.pdb
x03204-1,0,-6.44371,1.02628,0.44602,6.23946,0.00801,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03204-1/x03204-1_refined.pdb
x03219-1,0,-8.27518,0.69245,0.94834,7.21921,0.15183,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03219-1/x03219-1_refined.pdb
x03220-1,0,-8.16725,1.28147,0.67242,6.86073,0.17143,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03220-1/x03220-1_refined.pdb
x03223-1,0,-9.57681,1.22981,0.44346,6.26378,0.16952,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03223-1/x03223-1_refined.pdb
x03234-1,0,-9.86966,0.85708,0.8581,6.8899,0.04084,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03234-1/x03234-1_refined.pdb
x03244-1,0,-7.49687,0.83043,0.74334,6.38467,0.03,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x03244-1/x03244-1_refined.pdb
