train_id,compound_id,train_molecule_name,standard_inchi_key,chembl_id,chembl_pref_name
1621,1621,OADMET-0003763,WYWHKKSPHMUBEB-UHFFFAOYSA-N,CHEMBL727,THIOGUANINE
1622,1622,OADMET-0003762,FRQMUZJSZHZSGN-HBNHAYAOSA-N,CHEMBL1390,
1623,1623,OADMET-0003761,ACGDKVXYNVEAGU-UHFFFAOYSA-N,CHEMBL765,GUANETHIDINE
1624,1624,OADMET-0003760,SIYLLGKDQZGJHK-UHFFFAOYSA-N,CHEMBL1182210,BENZETHONIUM
1625,1625,OADMET-0003759,QCDFBFJGMNKBDO-UHFFFAOYSA-N,CHEMBL497,CLIOQUINOL
1626,1626,OADMET-0003758,MJIHNNLFOKEZEW-UHFFFAOYSA-N,CHEMBL480,LANSOPRAZOLE
1627,1627,OADMET-0003757,TZRHLKRLEZJVIJ-UHFFFAOYSA-N,CHEMBL1206690,PARECOXIB
1628,1628,OADMET-0003756,RJKFOVLPORLFTN-LEKSSAKUSA-N,CHEMBL103,PROGESTERONE
1629,1629,OADMET-0003755,RUVINXPYWBROJD-ONEGZZNKSA-N,CHEMBL452630,ANETHOLE
1630,1630,OADMET-0003754,BJIOGJUNALELMI-UHFFFAOYSA-N,CHEMBL2135887,CIS/TRANS-ISOEUGENOL
1631,1631,OADMET-0003753,AUZONCFQVSMFAP-UHFFFAOYSA-N,CHEMBL964,DISULFIRAM
1632,1632,OADMET-0003752,GKDRMWXFWHEQQT-UHFFFAOYSA-N,CHEMBL2103830,FOSTAMATINIB
1633,1633,OADMET-0003751,FOIPWTMKYXWFGC-UHFFFAOYSA-N,CHEMBL2104114,CREATINOLFOSFATE
1634,1634,OADMET-0003750,HWGBHCRJGXAGEU-UHFFFAOYSA-N,CHEMBL1330588,METHYLTHIOURACIL
1635,1635,OADMET-0003749,FGVVTMRZYROCTH-UHFFFAOYSA-N,CHEMBL1356238,PYRITHIONE
1636,1636,OADMET-0003748,ACTRVOBWPAIOHC-XIXRPRMCSA-N,CHEMBL1201073,SUCCIMER
1637,1637,OADMET-0003747,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,CHEMBL1484,NICARDIPINE
1638,1638,OADMET-0003746,ZQDWXGKKHFNSQK-UHFFFAOYSA-N,CHEMBL896,HYDROXYZINE
1639,1639,OADMET-0003745,YBSJFWOBGCMAKL-UHFFFAOYSA-N,CHEMBL48361,DABIGATRAN
1640,1640,OADMET-0003744,AHLBNYSZXLDEJQ-FWEHEUNISA-N,CHEMBL175247,ORLISTAT
1641,1641,OADMET-0003743,YKGGGCXBWXHKIZ-UHFFFAOYSA-N,CHEMBL177756,
1642,1642,OADMET-0003742,IKBKZGMPCYNSLU-UHFFFAOYSA-N,CHEMBL1620352,
1643,1643,OADMET-0003741,PHPUXYRXPHEJDF-UHFFFAOYSA-N,CHEMBL1402684,OXYPHENISATIN ACETATE
1644,1644,OADMET-0003740,RWWYLEGWBNMMLJ-YSOARWBDSA-N,CHEMBL4065616,REMDESIVIR
1645,1645,OADMET-0003739,GIKNHHRFLCDOEU-UHFFFAOYSA-N,CHEMBL1546,HYDROXYAMPHETAMINE
1646,1646,OADMET-0003738,UXOWGYHJODZGMF-QORCZRPOSA-N,CHEMBL1639,ALISKIREN
1647,1647,OADMET-0003737,XJGFWWJLMVZSIG-UHFFFAOYSA-N,CHEMBL43184,AMINACRINE
1648,1648,OADMET-0003736,IRYJRGCIQBGHIV-UHFFFAOYSA-N,CHEMBL695,TRIMETHADIONE
1649,1649,OADMET-0003735,UXZFQZANDVDGMM-UHFFFAOYSA-N,CHEMBL86754,IODOQUINOL
1650,1650,OADMET-0003734,HYAFETHFCAUJAY-UHFFFAOYSA-N,CHEMBL595,PIOGLITAZONE
1651,1651,OADMET-0003733,QMHSXPLYMTVAMK-UHFFFAOYSA-N,CHEMBL1201303,PYRVINIUM
1652,1652,OADMET-0003732,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL3989908,ENASIDENIB
1653,1653,OADMET-0003731,LEBVLXFERQHONN-INIZCTEOSA-N,CHEMBL1201193,LEVOBUPIVACAINE
1654,1654,OADMET-0003730,GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL3301622,GILTERITINIB
1655,1655,OADMET-0003729,IMYZQPCYWPFTAG-UHFFFAOYSA-N,CHEMBL267936,MECAMYLAMINE
1656,1656,OADMET-0003728,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,CHEMBL1727,CEPHALEXIN ANHYDROUS
1658,1658,OADMET-0003726,KTEIFNKAUNYNJU-GFCCVEGCSA-N,CHEMBL601719,CRIZOTINIB
1659,1659,OADMET-0003725,BLIJXOOIHRSQRB-PXYINDEMSA-N,CHEMBL4297185,DAROLUTAMIDE
1660,1660,OADMET-0003724,YASAKCUCGLMORW-UHFFFAOYSA-N,CHEMBL121,ROSIGLITAZONE
1661,1661,OADMET-0003723,UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL288441,BOSUTINIB
1662,1662,OADMET-0003722,YSIITVVESCNIPR-UHFFFAOYSA-N,CHEMBL1566956,TROXIPIDE
1663,1663,OADMET-0003721,HBUBKKRHXORPQB-FJFJXFQQSA-N,CHEMBL1568,FLUDARABINE
1664,1664,OADMET-0003720,PLHJDBGFXBMTGZ-UHFFFAOYSA-N,CHEMBL1374738,
1665,1665,OADMET-0003719,RNLQIBCLLYYYFJ-UHFFFAOYSA-N,CHEMBL12856,INAMRINONE
1667,1667,OADMET-0003717,RDOIQAHITMMDAJ-UHFFFAOYSA-N,CHEMBL841,LOPERAMIDE
1670,1670,OADMET-0003714,GKTWGGQPFAXNFI-HNNXBMFYSA-N,CHEMBL1771,CLOPIDOGREL
1671,1671,OADMET-0003713,BPKAHTKRCLCHEA-UBFJEZKGSA-N,CHEMBL1200622,PARICALCITOL
1672,1672,OADMET-0003712,LDBTVAXGKYIFHO-UHFFFAOYSA-N,CHEMBL19633,DIAVERIDINE
1673,1673,OADMET-0003711,QXWZQTURMXZVHJ-UHFFFAOYSA-N,CHEMBL238804,SELEXIPAG
1674,1674,OADMET-0003710,OGHNVEJMJSYVRP-UHFFFAOYSA-N,CHEMBL723,CARVEDILOL
1675,1675,OADMET-0003709,RHWKPHLQXYSBKR-BMIGLBTASA-N,CHEMBL1229211,DOLUTEGRAVIR
1676,1676,OADMET-0003708,URSRSKSNFPUKGH-UHFFFAOYSA-N,CHEMBL2110819,EMBRAMINE
1677,1677,OADMET-0003707,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CHEMBL53463,DOXORUBICIN
1678,1678,OADMET-0003706,LUZRJRNZXALNLM-JGRZULCMSA-N,CHEMBL1732,DIHYDROERGOTAMINE
1679,1679,OADMET-0003705,VGGGPCQERPFHOB-RDBSUJKOSA-N,CHEMBL29292,UBENIMEX
1680,1680,OADMET-0003704,XXPANQJNYNUNES-UHFFFAOYSA-N,CHEMBL273575,NOMIFENSINE
1681,1681,OADMET-0003703,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1323,DARUNAVIR
1682,1682,OADMET-0003702,QMNFFXRFOJIOKZ-UHFFFAOYSA-N,CHEMBL747,CYCLOGUANIL
1683,1683,OADMET-0003701,ULXXDDBFHOBEHA-CWDCEQMOSA-N,CHEMBL1173655,AFATINIB
1684,1684,OADMET-0003700,AXRYRYVKAWYZBR-GASGPIRDSA-N,CHEMBL1163,ATAZANAVIR
1685,1685,OADMET-0003699,OOGJQPCLVADCPB-HXUWFJFHSA-N,CHEMBL1382,TOLTERODINE
1686,1686,OADMET-0003697,GXJABQQUPOEUTA-RDJZCZTQSA-N,CHEMBL325041,BORTEZOMIB
1687,1687,OADMET-0003696,ACEWLPOYLGNNHV-UHFFFAOYSA-N,CHEMBL2106254,IBUPROFEN PICONOL
1688,1688,OADMET-0003695,BIDNLKIUORFRQP-AJTMIRJTSA-N,CHEMBL1886787,
1689,1689,OADMET-0003694,FJLGEFLZQAZZCD-MCBHFWOFSA-N,CHEMBL1078,
1690,1690,OADMET-0003693,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CHEMBL633,AMIODARONE
1691,1691,OADMET-0003692,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CHEMBL484,ADEFOVIR
1692,1692,OADMET-0003691,LQBVNQSMGBZMKD-UHFFFAOYSA-N,CHEMBL3137309,VENETOCLAX
1693,1693,OADMET-0003690,QXHHHPZILQDDPS-UHFFFAOYSA-N,CHEMBL1200438,TIOCONAZOLE
1694,1694,OADMET-0003689,NCVXEYAKRVJMTQ-UHFFFAOYSA-N,CHEMBL4303693,
1695,1695,OADMET-0003688,LGLFFNDHMLKUMI-UHFFFAOYSA-N,CHEMBL459265,HEXAMETHYL PARAROSANILINE
1696,1696,OADMET-0003687,NWVVVBRKAWDGAB-UHFFFAOYSA-N,CHEMBL544,MEQUINOL
1697,1697,OADMET-0003686,UWKQSNNFCGGAFS-XIFFEERXSA-N,CHEMBL481,IRINOTECAN
1698,1698,OADMET-0003685,OZLPUNFFCJDMJD-UHFFFAOYSA-N,CHEMBL360055,GALLAMINE
1699,1699,OADMET-0003684,QMHSXPLYMTVAMK-UHFFFAOYSA-N,CHEMBL1201303,PYRVINIUM
1700,1700,OADMET-0003683,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,CHEMBL277535,BIFONAZOLE
1701,1701,OADMET-0003682,SSMSBSWKLKKXGG-UHFFFAOYSA-N,CHEMBL1902627,CLORPRENALINE
1702,1702,OADMET-0003681,JKOQGQFVAUAYPM-UHFFFAOYSA-N,CHEMBL1006,AMIFOSTINE
1703,1703,OADMET-0003680,VACCAVUAMIDAGB-UHFFFAOYSA-N,CHEMBL1191,SULFAMETHIZOLE
1704,1704,OADMET-0003679,OGSPWJRAVKPPFI-UHFFFAOYSA-N,CHEMBL870,ALENDRONIC ACID
1705,1705,OADMET-0003678,MEZLKOACVSPNER-GFCCVEGCSA-N,CHEMBL972,SELEGILINE
1706,1706,OADMET-0003677,KUAZQDVKQLNFPE-UHFFFAOYSA-N,CHEMBL120563,THIRAM
1707,1707,OADMET-0003676,VSNHCAURESNICA-UHFFFAOYSA-N,CHEMBL467,HYDROXYUREA
1708,1708,OADMET-0003675,YVPYQUNUQOZFHG-UHFFFAOYSA-N,CHEMBL1201220,DIATRIZOIC ACID
1709,1709,OADMET-0003674,UTNUDOFZCWSZMS-UHFFFAOYSA-N,CHEMBL2062101,
1710,1710,OADMET-0003673,YTKUWDBFDASYHO-UHFFFAOYSA-N,CHEMBL487253,BENDAMUSTINE
1711,1711,OADMET-0003672,JPGQOUSTVILISH-UHFFFAOYSA-N,CHEMBL1257,ENFLURANE
1712,1712,OADMET-0003671,WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL98,VORINOSTAT
1713,1713,OADMET-0003670,WDZVGELJXXEGPV-UHFFFAOYSA-N,CHEMBL1313657,
1714,1714,OADMET-0003669,RIJLVEAXPNLDTC-UHFFFAOYSA-N,CHEMBL3301607,FILGOTINIB
1715,1715,OADMET-0003668,WJAJPNHVVFWKKL-UHFFFAOYSA-N,CHEMBL524,METHOXAMINE
1716,1716,OADMET-0003667,IHLAQQPQKRMGSS-SCSAIBSYSA-N,CHEMBL4303394,
1717,1717,OADMET-0003666,JWBOIMRXGHLCPP-UHFFFAOYSA-N,CHEMBL1670,MITOTANE
1718,1718,OADMET-0003665,WDVSHHCDHLJJJR-UHFFFAOYSA-N,CHEMBL55400,PROFLAVINE
1719,1719,OADMET-0003664,KNHUKKLJHYUCFP-UHFFFAOYSA-N,CHEMBL565,CLOFIBRATE
1720,1720,OADMET-0003663,FKRSSPOQAMALKA-CUPIEXAXSA-N,CHEMBL2023898,DACLATASVIR
1721,1721,OADMET-0003662,MTCFGRXMJLQNBG-UWTATZPHSA-N,CHEMBL285123,(D)-SERINE
1722,1722,OADMET-0003661,QZVCTJOXCFMACW-UHFFFAOYSA-N,CHEMBL753,PHENOXYBENZAMINE
1723,1723,OADMET-0003660,KYAKGJDISSNVPZ-UHFFFAOYSA-N,CHEMBL1318939,THEOFIBRATE
1724,1724,OADMET-0003659,AAQOQKQBGPPFNS-UHFFFAOYSA-N,CHEMBL1199080,BRETYLIUM
1725,1725,OADMET-0003658,FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1946170,REGORAFENIB
1726,1726,OADMET-0003656,PHLBKPHSAVXXEF-UHFFFAOYSA-N,CHEMBL621,TRAZODONE
1727,1727,OADMET-0003655,UVIQSJCZCSLXRZ-UBUQANBQSA-N,CHEMBL271227,ABIRATERONE ACETATE
1728,1728,OADMET-0003654,CAHKINHBCWCHCF-JTQLQIEISA-N,CHEMBL65543,ACETYL TYROSINE
1729,1729,OADMET-0003653,JGPMMRGNQUBGND-UHFFFAOYSA-N,CHEMBL252556,IDEBENONE
1730,1730,OADMET-0003652,HPNSFSBZBAHARI-RUDMXATFSA-N,CHEMBL866,MYCOPHENOLIC ACID
1731,1731,OADMET-0003651,FDLYAMZZIXQODN-UHFFFAOYSA-N,CHEMBL521686,OLAPARIB
1732,1732,OADMET-0003650,VYQNWZOUAUKGHI-UHFFFAOYSA-N,CHEMBL1388,MONOBENZONE
1733,1733,OADMET-0003649,JQXXHWHPUNPDRT-GHGVGPBWSA-N,CHEMBL1604283,
1734,1734,OADMET-0003648,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL23,DILTIAZEM
1735,1735,OADMET-0003647,SGTNSNPWRIOYBX-UHFFFAOYSA-N,CHEMBL6966,VERAPAMIL
1736,1736,OADMET-0003646,ZKMNUMMKYBVTFN-HNNXBMFYSA-N,CHEMBL1077896,ROPIVACAINE
1737,1737,OADMET-0003645,NUKYPUAOHBNCPY-UHFFFAOYSA-N,CHEMBL284348,DALFAMPRIDINE
1738,1738,OADMET-0003644,WAXQNWCZJDTGBU-UHFFFAOYSA-N,CHEMBL206253,NETUPITANT
1739,1739,OADMET-0003643,FFEARJCKVFRZRR-UHFFFAOYSA-N,CHEMBL274119,RACEMETHIONINE
1740,1740,OADMET-0003642,LQOLIRLGBULYKD-JKIFEVAISA-N,CHEMBL891,CLOXACILLIN
1741,1741,OADMET-0003641,MVRHVFSOIWFBTE-INIZCTEOSA-N,CHEMBL4298128,ELEXACAFTOR
1742,1742,OADMET-0003640,UFSKUSARDNFIRC-UHFFFAOYSA-N,CHEMBL2103870,LUMACAFTOR
1743,1743,OADMET-0003639,HXHWSAZORRCQMX-UHFFFAOYSA-N,CHEMBL1483,ALBENDAZOLE
1744,1744,OADMET-0003638,IZEKFCXSFNUWAM-UHFFFAOYSA-N,CHEMBL932,DIPYRIDAMOLE
1745,1745,OADMET-0003637,MBGGBVCUIVRRBF-UHFFFAOYSA-N,CHEMBL832,SULFINPYRAZONE
1746,1746,OADMET-0003636,RMMXLENWKUUMAY-UHFFFAOYSA-N,CHEMBL1017,TELMISARTAN
1747,1747,OADMET-0003634,UREBDLICKHMUKA-DVTGEIKXSA-N,CHEMBL632,BETAMETHASONE
1748,1748,OADMET-0003633,FKENQMMABCRJMK-RITPCOANSA-N,CHEMBL403,SULBACTAM
1749,1749,OADMET-0003631,MKJIEFSOBYUXJB-UHFFFAOYSA-N,CHEMBL117785,TETRABENAZINE
1750,1750,OADMET-0003630,VKQFCGNPDRICFG-UHFFFAOYSA-N,CHEMBL1726,NISOLDIPINE
1751,1751,OADMET-0003629,OLNTVTPDXPETLC-XPWALMASSA-N,CHEMBL1138,EZETIMIBE
1752,1752,OADMET-0003628,VDUWPHTZYNWKRN-UHFFFAOYSA-N,CHEMBL1208,CINOXACIN
1753,1753,OADMET-0003627,WKSAUQYGYAYLPV-UHFFFAOYSA-N,CHEMBL36,PYRIMETHAMINE
1754,1754,OADMET-0003626,RZTAMFZIAATZDJ-UHFFFAOYSA-N,CHEMBL1480,FELODIPINE
1755,1755,OADMET-0003625,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL1428,NIMODIPINE
1756,1756,OADMET-0003624,XNKLLVCARDGLGL-JGVFFNPUSA-N,CHEMBL991,STAVUDINE
1757,1757,OADMET-0003623,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,CHEMBL822,TERBINAFINE
1758,1758,OADMET-0003622,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,DASATINIB ANHYDROUS
1759,1759,OADMET-0003621,PTRATZCAGVBFIQ-UHFFFAOYSA-N,CHEMBL2205807,ABAMETAPIR
1760,1760,OADMET-0003620,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,CHEMBL908,CHLORPROTHIXENE
1761,1761,OADMET-0003619,NDDAHWYSQHTHNT-UHFFFAOYSA-N,CHEMBL406,INDAPAMIDE
1762,1762,OADMET-0003618,VYMDGNCVAMGZFE-UHFFFAOYSA-N,CHEMBL101,PHENYLBUTAZONE
1763,1763,OADMET-0003617,YMTINGFKWWXKFG-UHFFFAOYSA-N,CHEMBL672,FENOFIBRATE
1764,1764,OADMET-0003616,RONZAEMNMFQXRA-UHFFFAOYSA-N,CHEMBL654,MIRTAZAPINE
