split,fold,n_val,pec50_mean,pec50_std,pec50_top20_frac,potent46_count,test_nn_mean,test_nn_ge_025_frac,potent_nn_ge_025_frac,adv_p_test_mean,adv_top20_frac,log2fc33_mean,log2fc33_top20_frac,chembl_nn_ge_030_count
mixed_analog_t25,4,827,4.299721886336155,1.120207054556125,0.19830713422007254,9,0.28097460306598243,0.6892382103990327,0.21523579201934703,0.04103241960489003,0.19709794437726724,0.9284986360979738,0.21039903264812576,29
mixed_analog_t30,0,830,4.409246987951807,1.0496904043358348,0.20240963855421687,10,0.2870000169388122,0.7216867469879518,0.23373493975903614,0.04294029882954988,0.21566265060240963,0.9736527889323174,0.19397590361445782,32
mixed_analog_t30,1,829,4.325414420044472,1.1359805291361669,0.2147165259348613,9,0.28734784420849124,0.6984318455971049,0.2135102533172497,0.05158278955093986,0.1881785283474065,0.9335051504041285,0.19903498190591074,38
mixed_analog_t30,2,827,4.270701330108827,1.1414396326137342,0.19830713422007254,9,0.2808978354522146,0.6856106408706167,0.21523579201934703,0.03915906135789065,0.2007255139056832,0.9152820912992724,0.21160822249093109,34
mixed_analog_t30,3,827,4.296148730350665,1.1310844925045263,0.19588875453446192,9,0.28917666480819665,0.7218863361547763,0.22007255139056833,0.04912168844646152,0.2067714631197098,0.9316757921520238,0.20193470374848851,28
mixed_analog_t30,4,827,4.302224909310762,1.1448254496338646,0.19709794437726724,9,0.27850539078935066,0.6747279322853688,0.19830713422007254,0.03757804815432037,0.18863361547763,0.9408145943336176,0.19347037484885127,29
test_nn_t20,0,829,4.315910735826297,1.1356318004640336,0.195416164053076,6,0.28698801525963574,0.744270205066345,0.2147165259348613,0.04576888889241488,0.20386007237635706,0.9344851478888789,0.18455971049457176,32
test_nn_t20,1,829,4.33770205066345,1.1174864216914995,0.19903498190591074,7,0.28282740772557,0.6779252110977081,0.23522316043425814,0.04437979341828148,0.20868516284680338,0.9634163646553773,0.20265379975874548,46
test_nn_t20,2,828,4.372173913043478,1.1265021072013346,0.2318840579710145,11,0.2848852720241695,0.678743961352657,0.19806763285024154,0.042737639713716344,0.18357487922705315,0.9626517548308211,0.2391304347826087,21
test_nn_t20,3,827,4.330215905945426,1.1122893481747238,0.19709794437726724,9,0.28438864836933403,0.7097944377267231,0.21765417170495768,0.04389833045202237,0.20556227327690446,0.9371869185232211,0.19226118500604594,32
test_nn_t20,4,827,4.247974607013301,1.1148861397834722,0.18500604594921402,13,0.2838519271028045,0.6916565900846433,0.21523579201934703,0.043608057890847415,0.19830713422007254,0.8972259191162727,0.18137847642079807,30
test_nn_t25,0,828,4.303194444444444,1.1400738884890593,0.19444444444444445,8,0.2836471117572798,0.7004830917874396,0.21497584541062803,0.04476161523194118,0.21014492753623187,0.934635525103096,0.20169082125603865,33
test_nn_t25,1,828,4.337373188405797,1.1381779504002203,0.20531400966183574,12,0.2880777152662993,0.7004830917874396,0.22342995169082125,0.04545540122005144,0.20652173913043478,0.9432016786318362,0.2113526570048309,32
test_nn_t25,2,828,4.373923374658053,1.072432685115632,0.21497584541062803,10,0.2846001331894881,0.7004830917874396,0.2246376811594203,0.047001016002603195,0.2113526570048309,0.943771818322062,0.20169082125603865,31
test_nn_t25,3,828,4.2988888888888885,1.1419103130158341,0.2113526570048309,11,0.2852193105499202,0.7004830917874396,0.2028985507246377,0.04625662967036606,0.18357487922705315,0.9476808999776998,0.2041062801932367,33
test_nn_t25,4,828,4.290688405797101,1.1144185873892343,0.1823671497584541,5,0.2813989017082764,0.7004830917874396,0.21497584541062803,0.036921239418610245,0.18840579710144928,0.9257528601234817,0.18115942028985507,32
test_nn_t30,0,829,4.314342581423402,1.100368908663468,0.17852834740651388,8,0.28554007242036344,0.7201447527141134,0.22677925211097708,0.04702956644087077,0.19179734620024125,0.9401741617460891,0.18697225572979492,28
test_nn_t30,1,828,4.3157971014492755,1.1375165857982885,0.2113526570048309,12,0.28519000293542096,0.6751207729468599,0.21980676328502416,0.04745812139603953,0.19444444444444445,0.9326751679827399,0.2210144927536232,25
test_nn_t30,2,828,4.349118357487923,1.1017762982418675,0.2028985507246377,6,0.282725926869288,0.7004830917874396,0.20531400966183574,0.038602867433081556,0.1859903381642512,0.965469728480993,0.21014492753623187,46
test_nn_t30,3,828,4.309378019323671,1.147481894112295,0.20652173913043478,12,0.28303555483068066,0.7028985507246377,0.20772946859903382,0.04213030153484673,0.19685990338164253,0.9288803703426654,0.1956521739130435,23
test_nn_t30,4,827,4.315433560117131,1.122348040490773,0.20918984280532044,8,0.28645271764404195,0.7037484885126964,0.22128174123337363,0.045172802269928036,0.2309552599758162,0.9278284433177315,0.18621523579201935,39
adversarial_top513,0,829,4.3572738238841975,1.1048983432166821,0.2074788902291918,14,0.289251868033845,0.7117008443908324,0.22316043425814233,0.048567708606979294,0.22074788902291917,0.9359721989958998,0.18455971049457176,39
adversarial_top513,1,829,4.30381785283474,1.1471781654792725,0.2074788902291918,19,0.2853916449756694,0.6803377563329313,0.20989143546441497,0.04865857704280411,0.1942098914354644,0.9343068361355652,0.22798552472858866,37
adversarial_top513,2,828,4.335777239392352,1.112773141072977,0.20048309178743962,2,0.2810377559206217,0.6932367149758454,0.21497584541062803,0.03555300608337649,0.18478260869565216,0.9391043405059797,0.19082125603864733,24
adversarial_top513,3,827,4.330392986698912,1.1130934074695649,0.20435308343409916,5,0.28470791169759174,0.717049576783555,0.19709794437726724,0.0458950219014206,0.2007255139056832,0.9724077374016711,0.20918984280532044,31
adversarial_top513,4,827,4.276741233373639,1.1305101500219241,0.18863361547763,6,0.28254506607634344,0.7001209189842805,0.23579201934703747,0.041709967986574024,0.19951632406287786,0.9132702669079226,0.18742442563482467,30
adversarial_top849,0,829,4.324963811821473,1.1153770397125,0.20265379975874548,7,0.28439874489984296,0.7044632086851629,0.19662243667068757,0.04481714604965704,0.195416164053076,0.9359408215772972,0.20024125452352232,32
adversarial_top849,1,828,4.3410912490541875,1.098247234506622,0.19927536231884058,13,0.2866778077002314,0.7016908212560387,0.2427536231884058,0.04529019298287132,0.20169082125603865,0.9161638899684933,0.1956521739130435,31
adversarial_top849,2,828,4.292083333333333,1.1501098371657137,0.19806763285024154,11,0.2863966007283799,0.7125603864734299,0.23671497584541062,0.046642870266761775,0.19927536231884058,0.9547874722912388,0.2041062801932367,30
adversarial_top849,3,828,4.2811896135265695,1.1135689995886346,0.1859903381642512,10,0.2815057653820024,0.6835748792270532,0.19444444444444445,0.037088153482256234,0.2028985507246377,0.9271779300826084,0.2028985507246377,38
adversarial_top849,4,827,4.364788391777509,1.1306172851511336,0.22249093107617895,5,0.2839637283785351,0.7001209189842805,0.21039903264812576,0.04655964322721604,0.2007255139056832,0.9610029364932675,0.19709794437726724,30
adversarial_top1200,0,828,4.374267577556603,1.068491151117122,0.1823671497584541,4,0.28152821815468526,0.7053140096618358,0.21014492753623187,0.04204044003067321,0.19927536231884058,0.9727962881001613,0.1932367149758454,36
adversarial_top1200,1,828,4.303979468599033,1.1341542042196788,0.20652173913043478,11,0.2851369790239743,0.678743961352657,0.21618357487922704,0.04601620635011749,0.213768115942029,0.9174693194014113,0.18840579710144928,30
adversarial_top1200,2,828,4.2734299516908205,1.1802205330253346,0.20772946859903382,13,0.2857046461673033,0.7270531400966184,0.23671497584541062,0.04489233527541802,0.2028985507246377,0.929862211634414,0.2028985507246377,36
adversarial_top1200,3,828,4.361032608695653,1.1009090407408615,0.2113526570048309,14,0.2885928637098817,0.711352657004831,0.20772946859903382,0.047507195831328806,0.19444444444444445,0.9593249135614139,0.2318840579710145,29
adversarial_top1200,4,828,4.291358695652174,1.1203730304181103,0.20048309178743962,4,0.28198046541541943,0.6799516908212561,0.21014492753623187,0.03993972405603457,0.18961352657004832,0.9155900494607755,0.18357487922705315,30
public_adv_top513,0,513,4.856907513093309,0.9610514086086744,0.36062378167641324,34,0.3742564089102068,0.9571150097465887,0.50682261208577,0.27328375970716035,1.0,1.1521392604499532,0.2884990253411306,26
public_testnn_top513,0,513,4.717582846003898,1.0707597630532797,0.34307992202729043,35,0.42480611721728906,1.0,0.5321637426900585,0.19932251931747413,0.571150097465887,1.0778671689517614,0.2787524366471735,29
public_log2fc_top513,0,513,5.1860331384015605,0.46507791357639905,0.46393762183235865,13,0.3010086423507694,0.7348927875243665,0.29434697855750486,0.07475417384120006,0.2807017543859649,1.7945713130121808,1.0,23
public_hybrid_nolabel_top513,0,513,5.0868031189083815,0.6940627914156999,0.40545808966861596,34,0.4015863544943692,1.0,0.580896686159844,0.2284574730219122,0.8187134502923976,1.3431177137757253,0.4249512670565302,31
public_hybrid_with_y_top513,0,513,5.324139481904226,0.479544336297621,0.5555555555555556,35,0.38983107350442686,1.0,0.5594541910331384,0.21797253115172327,0.7738791423001949,1.4161572754383087,0.4951267056530214,29
public_adv_top849,0,849,4.769120794130586,0.9560059851793667,0.32273262661955243,36,0.3472214989509985,0.9187279151943463,0.4299175500588928,0.18343067707754246,0.9752650176678446,1.1195600302974957,0.26148409893992935,35
public_testnn_top849,0,849,4.612444051825677,1.042724402114334,0.2791519434628975,35,0.3895658891236972,1.0,0.48527679623085984,0.1394089529515715,0.4817432273262662,1.048103238943826,0.2497055359246172,37
public_log2fc_top849,0,849,5.159156129819633,0.47090102270391027,0.45229681978798586,18,0.2993198574782823,0.7467608951707891,0.28150765606595995,0.06891408984819508,0.25677267373380447,1.6595561626521942,0.9752650176678446,41
public_hybrid_nolabel_top849,0,849,4.942619027346134,0.7759908125862088,0.35335689045936397,35,0.3708920613910832,1.0,0.5053003533568905,0.16479127931199794,0.6819787985865724,1.261214584548759,0.36866902237926974,46
public_hybrid_with_y_top849,0,849,5.206099592717158,0.4974563480398701,0.4793875147232038,36,0.36374567149294884,0.9976442873969376,0.49705535924617195,0.15688364281276482,0.6230859835100118,1.3597960360304346,0.42285041224970554,46
public_adv_top1200,0,1200,4.673332128514056,0.9988189650815654,0.2925,38,0.33161130588439963,0.8841666666666667,0.37416666666666665,0.13725840071384454,0.69,1.0766539206392676,0.245,48
public_testnn_top1200,0,1200,4.539204166666667,1.0479071302413434,0.24666666666666667,35,0.3671738205427986,1.0,0.4425,0.10960009390170114,0.42083333333333334,1.0236244095972507,0.23333333333333334,58
public_log2fc_top1200,0,1200,5.122661295180723,0.47194816688032576,0.42583333333333334,21,0.2963188926957592,0.7408333333333333,0.26916666666666667,0.06341554812128512,0.2625,1.5642634161313376,0.69,47
public_hybrid_nolabel_top1200,0,1200,4.84332796184739,0.8390707609669317,0.325,36,0.35374840899612586,0.9975,0.44333333333333336,0.12709757932257615,0.5608333333333333,1.2087798722427883,0.3275,64
public_hybrid_with_y_top1200,0,1200,5.11519046184739,0.5557420841088853,0.425,38,0.34680005310690887,0.98,0.42333333333333334,0.12303723017812071,0.53,1.3127632554527373,0.38,66
public_chembl_ext_nn_ge025,0,790,4.403922220527681,1.1116185521024968,0.21645569620253163,11,0.29763646834123725,0.7708860759493671,0.25443037974683547,0.05064893529982058,0.19746835443037974,1.0009234258162354,0.2481012658227848,161
