test_id,Molecule Name,split,as1_pec50,pEC50,pairrank_chembl,pairrank_gate_flag,pairrank_gate_shift,gated_pEC50
128,OADMET-0006486,AS2,,4.208568597339912,0.41384286,False,0.0,4.208568597339912
129,OADMET-0006485,AS2,,5.596031471361181,0.32701927,False,0.0,5.596031471361181
130,OADMET-0006484,AS1,5.51,5.51,0.38256595,False,0.0,5.51
131,OADMET-0006483,AS2,,5.902668894532912,0.438952,False,0.0,5.902668894532912
132,OADMET-0006482,AS1,6.035,6.035,0.3776236,False,0.0,6.035
133,OADMET-0006481,AS2,,5.549259643896688,0.29798135,False,0.0,5.549259643896688
134,OADMET-0006479,AS2,,3.4425355263329056,0.20855796,False,0.0,3.4425355263329056
135,OADMET-0006478,AS2,,5.776962132632677,0.6018126,True,0.15,5.926962132632678
136,OADMET-0006477,AS1,5.35,5.35,0.23597519,False,0.0,5.35
137,OADMET-0006476,AS2,,2.6358833098477903,0.26049548,False,0.0,2.6358833098477903
138,OADMET-0006475,AS2,,5.9618073455070375,0.2895965,False,0.0,5.9618073455070375
139,OADMET-0006474,AS2,,4.4465852058965005,0.5474862,False,0.0,4.4465852058965005
140,OADMET-0006472,AS1,1.755,1.755,0.12992695,False,0.0,1.755
141,OADMET-0006471,AS2,,4.968472130873214,0.2963648,False,0.0,4.968472130873214
142,OADMET-0006470,AS2,,5.2916325513340325,0.61047244,True,0.15,5.441632551334033
143,OADMET-0006469,AS1,4.58,4.58,0.22710112,False,0.0,4.58
144,OADMET-0006468,AS1,5.87,5.87,0.21321945,False,0.0,5.87
145,OADMET-0006467,AS2,,5.004248465303683,0.37021604,False,0.0,5.004248465303683
146,OADMET-0006466,AS2,,5.366916507508873,0.60817003,True,0.15,5.516916507508873
147,OADMET-0006465,AS2,,4.719884985376248,0.25775316,False,0.0,4.719884985376248
148,OADMET-0006464,AS2,,3.541394484919685,0.27820385,False,0.0,3.541394484919685
149,OADMET-0006463,AS1,5.54,5.54,0.3615255,False,0.0,5.54
150,OADMET-0006462,AS1,5.550000000000001,5.550000000000001,0.6902865,False,0.0,5.550000000000001
151,OADMET-0006461,AS1,5.34,5.34,0.4729574,False,0.0,5.34
152,OADMET-0006460,AS1,1.98,1.98,0.40140337,False,0.0,1.98
153,OADMET-0006459,AS2,,5.776342755235145,0.65784186,True,0.15,5.9263427552351455
154,OADMET-0006458,AS1,1.945,1.945,0.28100225,False,0.0,1.945
155,OADMET-0006457,AS2,,5.833345880925563,0.43470842,False,0.0,5.833345880925563
156,OADMET-0006456,AS2,,5.424001772752332,0.42830193,False,0.0,5.424001772752332
157,OADMET-0006455,AS1,6.225,6.225,0.61390215,False,0.0,6.225
158,OADMET-0006454,AS2,,5.366356628112405,0.5096937,False,0.0,5.366356628112405
159,OADMET-0006453,AS1,5.135,5.135,0.49928683,False,0.0,5.135
160,OADMET-0006452,AS1,4.72,4.72,0.32434434,False,0.0,4.72
161,OADMET-0006451,AS1,5.11,5.11,0.3012513,False,0.0,5.11
162,OADMET-0006450,AS2,,3.8322278392778575,0.3239672,False,0.0,3.8322278392778575
163,OADMET-0006449,AS1,4.465,4.465,0.48856172,False,0.0,4.465
164,OADMET-0006448,AS2,,4.867698126341474,0.3515994,False,0.0,4.867698126341474
165,OADMET-0006447,AS2,,5.349043445993656,0.30200067,False,0.0,5.349043445993656
166,OADMET-0006446,AS2,,3.890122523702621,0.2874856,False,0.0,3.890122523702621
167,OADMET-0006445,AS1,5.029999999999999,5.029999999999999,0.47721455,False,0.0,5.029999999999999
168,OADMET-0006443,AS1,4.6850000000000005,4.6850000000000005,0.42957026,False,0.0,4.6850000000000005
169,OADMET-0006442,AS1,4.75,4.75,0.20899028,False,0.0,4.75
170,OADMET-0006441,AS1,4.734999999999999,4.734999999999999,0.22808021,False,0.0,4.734999999999999
171,OADMET-0006440,AS1,5.165,5.165,0.37065524,False,0.0,5.165
172,OADMET-0006439,AS1,1.745,1.745,0.3698176,False,0.0,1.745
173,OADMET-0006438,AS2,,5.75939028657769,0.36633313,False,0.0,5.75939028657769
174,OADMET-0006437,AS2,,5.7794170434826295,0.5031816,False,0.0,5.7794170434826295
175,OADMET-0006436,AS2,,4.994559986535608,0.15168683,False,0.0,4.994559986535608
176,OADMET-0006435,AS1,2.475,2.475,0.30771983,False,0.0,2.475
177,OADMET-0006434,AS2,,5.481283291412921,0.35662317,False,0.0,5.481283291412921
178,OADMET-0006433,AS1,1.845,1.845,0.13799909,False,0.0,1.845
179,OADMET-0006432,AS2,,3.959354294560168,0.48997468,False,0.0,3.959354294560168
180,OADMET-0006431,AS1,4.005,4.005,0.43301132,False,0.0,4.005
181,OADMET-0006430,AS1,5.285,5.285,0.49009985,False,0.0,5.285
182,OADMET-0006429,AS1,5.37,5.37,0.13840838,False,0.0,5.37
183,OADMET-0006428,AS2,,4.196946587710204,0.24513742,False,0.0,4.196946587710204
184,OADMET-0006427,AS1,3.38,3.38,0.1978599,False,0.0,3.38
185,OADMET-0006426,AS2,,4.796306541757489,0.32410324,False,0.0,4.796306541757489
186,OADMET-0006425,AS2,,4.92881265896803,0.32337362,False,0.0,4.92881265896803
187,OADMET-0006424,AS1,5.38,5.38,0.554951,False,0.0,5.38
188,OADMET-0006423,AS2,,5.0423614385910005,0.65724885,True,0.15,5.192361438591001
189,OADMET-0006422,AS2,,3.194512627900901,0.23818739,False,0.0,3.194512627900901
190,OADMET-0006421,AS2,,5.075022516236754,0.44089076,False,0.0,5.075022516236754
191,OADMET-0006420,AS1,6.140000000000001,6.140000000000001,0.6891958,False,0.0,6.140000000000001
192,OADMET-0006419,AS2,,4.544444129631301,0.45269307,False,0.0,4.544444129631301
193,OADMET-0006418,AS1,3.84,3.84,0.5117362,False,0.0,3.84
194,OADMET-0006417,AS2,,4.952908621799921,0.48378718,False,0.0,4.952908621799921
195,OADMET-0006416,AS1,6.015,6.015,0.64646417,False,0.0,6.015
196,OADMET-0006415,AS1,5.505000000000001,5.505000000000001,0.34730446,False,0.0,5.505000000000001
197,OADMET-0006414,AS1,3.74,3.74,0.24916169,False,0.0,3.74
198,OADMET-0006413,AS1,5.995,5.995,0.6559501,False,0.0,5.995
199,OADMET-0006412,AS1,5.735,5.735,0.52085143,False,0.0,5.735
200,OADMET-0006411,AS2,,5.756361713690921,0.43955433,False,0.0,5.756361713690921
201,OADMET-0006410,AS1,2.535,2.535,0.40281567,False,0.0,2.535
202,OADMET-0006409,AS1,6.005,6.005,0.38298303,False,0.0,6.005
203,OADMET-0006408,AS1,5.805,5.805,0.53205776,False,0.0,5.805
204,OADMET-0006407,AS2,,3.710748685874417,0.19580051,False,0.0,3.710748685874417
205,OADMET-0006406,AS2,,3.9912862804176257,0.22405057,False,0.0,3.9912862804176257
206,OADMET-0006405,AS2,,4.5932339738625005,0.35587612,False,0.0,4.5932339738625005
207,OADMET-0006404,AS1,5.465,5.465,0.42887953,False,0.0,5.465
208,OADMET-0006401,AS1,4.74,4.74,0.29872158,False,0.0,4.74
209,OADMET-0006400,AS1,4.835,4.835,0.15983026,False,0.0,4.835
210,OADMET-0006399,AS1,5.17,5.17,0.6408319,False,0.0,5.17
211,OADMET-0006398,AS2,,4.628818267941465,0.25826067,False,0.0,4.628818267941465
212,OADMET-0006397,AS2,,5.1462804326394425,0.5375091,False,0.0,5.1462804326394425
213,OADMET-0006396,AS1,5.779999999999999,5.779999999999999,0.4657342,False,0.0,5.779999999999999
214,OADMET-0006395,AS1,5.07,5.07,0.26610827,False,0.0,5.07
215,OADMET-0006394,AS2,,5.264454170309914,0.37653702,False,0.0,5.264454170309914
216,OADMET-0006393,AS1,5.3100000000000005,5.3100000000000005,0.4026406,False,0.0,5.3100000000000005
217,OADMET-0006392,AS2,,5.139654346552043,0.45671073,False,0.0,5.139654346552043
218,OADMET-0006391,AS2,,4.627270332677322,0.38228008,False,0.0,4.627270332677322
219,OADMET-0006390,AS2,,5.439019404413126,0.556579,False,0.0,5.439019404413126
220,OADMET-0006389,AS2,,5.197548613193884,0.2241739,False,0.0,5.197548613193884
221,OADMET-0006388,AS2,,4.755175183507343,0.5366489,False,0.0,4.755175183507343
222,OADMET-0006386,AS1,6.26,6.26,0.46640313,False,0.0,6.26
223,OADMET-0006385,AS1,4.125,4.125,0.16937087,False,0.0,4.125
224,OADMET-0006384,AS2,,3.869695716330845,0.21313554,False,0.0,3.869695716330845
225,OADMET-0006383,AS2,,5.051498033787341,0.2776603,False,0.0,5.051498033787341
226,OADMET-0006382,AS2,,5.288306038523719,0.44809178,False,0.0,5.288306038523719
227,OADMET-0006381,AS2,,3.3266347444734863,0.3457415,False,0.0,3.3266347444734863
228,OADMET-0006380,AS2,,4.661097990193503,0.2253565,False,0.0,4.661097990193503
229,OADMET-0006379,AS1,2.97,2.97,0.16961883,False,0.0,2.97
230,OADMET-0006378,AS1,4.859999999999999,4.859999999999999,0.26636246,False,0.0,4.859999999999999
231,OADMET-0006377,AS2,,5.880562875721215,0.44486487,False,0.0,5.880562875721215
232,OADMET-0006375,AS1,4.970000000000001,4.970000000000001,0.4648704,False,0.0,4.970000000000001
233,OADMET-0006374,AS1,5.6,5.6,0.43148458,False,0.0,5.6
234,OADMET-0006373,AS2,,4.5615374583294885,0.6381322,True,0.15,4.711537458329489
235,OADMET-0006372,AS1,4.855,4.855,0.34169748,False,0.0,4.855
236,OADMET-0006371,AS1,4.895,4.895,0.32668138,False,0.0,4.895
237,OADMET-0006370,AS2,,3.7667601953571976,0.24745905,False,0.0,3.7667601953571976
238,OADMET-0006369,AS1,3.47,3.47,0.28503233,False,0.0,3.47
239,OADMET-0006368,AS1,5.79,5.79,0.24425249,False,0.0,5.79
240,OADMET-0006367,AS2,,4.699496328304131,0.13262439,False,0.0,4.699496328304131
241,OADMET-0006366,AS1,5.915,5.915,0.56244797,False,0.0,5.915
242,OADMET-0006365,AS2,,4.322850365998897,0.294761,False,0.0,4.322850365998897
243,OADMET-0006364,AS2,,5.46006996674142,0.2935952,False,0.0,5.46006996674142
244,OADMET-0006363,AS1,3.445,3.445,0.32568318,False,0.0,3.445
245,OADMET-0006362,AS2,,5.1404757515507065,0.62147486,True,0.15,5.290475751550707
246,OADMET-0006361,AS2,,5.945070048603861,0.56140494,False,0.0,5.945070048603861
247,OADMET-0006360,AS1,5.475,5.475,0.1936985,False,0.0,5.475
248,OADMET-0006359,AS2,,5.883748357560094,0.43886185,False,0.0,5.883748357560094
249,OADMET-0006358,AS2,,5.7363397617650325,0.7551463,True,0.15,5.886339761765033
250,OADMET-0006357,AS2,,5.663996277676536,0.6532958,True,0.15,5.813996277676536
251,OADMET-0006356,AS2,,5.055115790922426,0.44286722,False,0.0,5.055115790922426
252,OADMET-0006355,AS2,,5.175457533547853,0.33944273,False,0.0,5.175457533547853
253,OADMET-0006354,AS2,,4.950122594759704,0.4179716,False,0.0,4.950122594759704
254,OADMET-0006353,AS2,,3.633769858535318,0.25413266,False,0.0,3.633769858535318
255,OADMET-0006352,AS2,,5.292085086409363,0.40687087,False,0.0,5.292085086409363
256,OADMET-0006351,AS1,5.58,5.58,0.35431415,False,0.0,5.58
257,OADMET-0006350,AS1,4.87,4.87,0.2656622,False,0.0,4.87
258,OADMET-0006349,AS2,,5.330709041579086,0.24313278,False,0.0,5.330709041579086
259,OADMET-0006348,AS2,,4.283944677678663,0.384727,False,0.0,4.283944677678663
260,OADMET-0006347,AS1,5.58,5.58,0.46954465,False,0.0,5.58
261,OADMET-0006346,AS2,,5.48467572156587,0.59875757,True,0.15,5.634675721565871
262,OADMET-0006345,AS2,,4.271513889521041,0.49025983,False,0.0,4.271513889521041
263,OADMET-0006344,AS1,4.195,4.195,0.30027896,False,0.0,4.195
264,OADMET-0006343,AS2,,4.955458190838997,0.40123788,False,0.0,4.955458190838997
265,OADMET-0006342,AS2,,5.23591236551806,0.32719228,False,0.0,5.23591236551806
266,OADMET-0006341,AS1,4.65,4.65,0.26687604,False,0.0,4.65
267,OADMET-0006340,AS1,5.2,5.2,0.34346867,False,0.0,5.2
268,OADMET-0006339,AS2,,5.597751072023288,0.42538637,False,0.0,5.597751072023288
269,OADMET-0006338,AS2,,4.296520954355983,0.2585642,False,0.0,4.296520954355983
270,OADMET-0006337,AS2,,5.1561121462981925,0.47898966,False,0.0,5.1561121462981925
271,OADMET-0006336,AS1,1.805,1.805,0.22342192,False,0.0,1.805
272,OADMET-0006335,AS1,3.665,3.665,0.32724348,False,0.0,3.665
273,OADMET-0006334,AS1,4.91,4.91,0.11515261,False,0.0,4.91
274,OADMET-0006333,AS2,,3.563129689733644,0.25145042,False,0.0,3.563129689733644
275,OADMET-0006332,AS2,,4.71544014939504,0.401533,False,0.0,4.71544014939504
276,OADMET-0006331,AS1,4.88,4.88,0.40273508,False,0.0,4.88
277,OADMET-0006330,AS2,,4.903141863813474,0.34189242,False,0.0,4.903141863813474
278,OADMET-0006329,AS2,,5.033866399344392,0.52571195,False,0.0,5.033866399344392
279,OADMET-0006328,AS1,4.869999999999999,4.869999999999999,0.56559175,False,0.0,4.869999999999999
280,OADMET-0006327,AS2,,5.090248175959971,0.4113523,False,0.0,5.090248175959971
281,OADMET-0006326,AS1,5.24,5.24,0.30760118,False,0.0,5.24
282,OADMET-0006325,AS2,,5.045910808164078,0.41380197,False,0.0,5.045910808164078
283,OADMET-0006324,AS1,4.215,4.215,0.36155874,False,0.0,4.215
284,OADMET-0006323,AS2,,4.865821343764511,0.29780748,False,0.0,4.865821343764511
285,OADMET-0006322,AS2,,4.902533489343379,0.39308742,False,0.0,4.902533489343379
286,OADMET-0006321,AS2,,4.601300069004436,0.44327036,False,0.0,4.601300069004436
287,OADMET-0006320,AS2,,4.8988688834992375,0.47395056,False,0.0,4.8988688834992375
288,OADMET-0006319,AS2,,4.9109667919738165,0.33713183,False,0.0,4.9109667919738165
289,OADMET-0006318,AS1,5.745,5.745,0.35903275,False,0.0,5.745
290,OADMET-0006317,AS2,,3.4598020764337107,0.23759371,False,0.0,3.4598020764337107
291,OADMET-0006316,AS2,,4.600698188334071,0.44702676,False,0.0,4.600698188334071
292,OADMET-0006315,AS2,,3.1389624417178124,0.23753344,False,0.0,3.1389624417178124
293,OADMET-0006314,AS2,,5.008818179167951,0.6347077,True,0.15,5.158818179167952
294,OADMET-0006313,AS1,5.07,5.07,0.5401454,False,0.0,5.07
295,OADMET-0006312,AS2,,5.71881520640768,0.5433242,False,0.0,5.71881520640768
296,OADMET-0006311,AS1,4.725,4.725,0.25668553,False,0.0,4.725
297,OADMET-0006310,AS2,,4.982638463115276,0.26809072,False,0.0,4.982638463115276
298,OADMET-0006309,AS2,,5.225858314588534,0.11399535,False,0.0,5.225858314588534
299,OADMET-0006308,AS1,4.795,4.795,0.5680149,False,0.0,4.795
300,OADMET-0006307,AS2,,3.146114019801736,0.2032389,False,0.0,3.146114019801736
301,OADMET-0006306,AS1,5.24,5.24,0.22855018,False,0.0,5.24
302,OADMET-0006305,AS1,3.565,3.565,0.53383756,False,0.0,3.565
303,OADMET-0006304,AS1,5.025,5.025,0.38584536,False,0.0,5.025
304,OADMET-0006303,AS1,5.875,5.875,0.5043703,False,0.0,5.875
305,OADMET-0006302,AS1,5.495,5.495,0.1587067,False,0.0,5.495
306,OADMET-0006301,AS1,5.58,5.58,0.24731353,False,0.0,5.58
307,OADMET-0006300,AS2,,4.790315492095872,0.54316956,False,0.0,4.790315492095872
308,OADMET-0006299,AS1,4.725,4.725,0.42069837,False,0.0,4.725
309,OADMET-0006298,AS1,4.26,4.26,0.42518577,False,0.0,4.26
310,OADMET-0006297,AS2,,4.871324589055444,0.29536697,False,0.0,4.871324589055444
311,OADMET-0006296,AS1,5.890000000000001,5.890000000000001,0.43788657,False,0.0,5.890000000000001
312,OADMET-0006295,AS2,,3.7938968340465897,0.43923002,False,0.0,3.7938968340465897
313,OADMET-0006294,AS1,5.185,5.185,0.3698561,False,0.0,5.185
314,OADMET-0006293,AS2,,4.153478407887517,0.45609105,False,0.0,4.153478407887517
315,OADMET-0006292,AS1,4.34,4.34,0.28373054,False,0.0,4.34
316,OADMET-0006291,AS2,,3.280295858067874,0.14035611,False,0.0,3.280295858067874
317,OADMET-0006290,AS1,3.2750000000000004,3.2750000000000004,0.24244717,False,0.0,3.2750000000000004
318,OADMET-0006289,AS2,,4.513239153004198,0.39426982,False,0.0,4.513239153004198
319,OADMET-0006288,AS1,4.98,4.98,0.29736876,False,0.0,4.98
320,OADMET-0006287,AS1,4.055,4.055,0.22603148,False,0.0,4.055
321,OADMET-0006286,AS2,,5.160363171078791,0.4552812,False,0.0,5.160363171078791
322,OADMET-0006285,AS1,3.57,3.57,0.31311888,False,0.0,3.57
323,OADMET-0006284,AS1,6.08,6.08,0.40715027,False,0.0,6.08
324,OADMET-0006283,AS1,5.16,5.16,0.44053712,False,0.0,5.16
325,OADMET-0006282,AS2,,4.550098550458791,0.21342427,False,0.0,4.550098550458791
326,OADMET-0006281,AS2,,5.081922819494387,0.46275386,False,0.0,5.081922819494387
