test_id,compound_id,molecule_name,smiles,true_pec50,emax_estimate,emax_vs_pos_ctrl,pred_id55,error,abs_error,nn_train_tanimoto,nn_train_pec50,nn_potent_tanimoto,log2fc_8p25_pred,log2fc_33_pred,lf_mean
45,4185,OADMET-0006573,c1cnc(COc2ccc(NCC3(C4CCCO4)CC3)cc2)cn1,4.775,1.62,0.544,3.755070584697816,-1.0199294153021845,1.0199294153021845,0.43283582,5.83,0.1764706,0.14888093,0.39182812,0.2703545
504,4644,OADMET-0006096,CC(NC(=O)C12CC(C(=O)O)(C1)C2)c1nc2ccccc2n1C(F)F,2.49,2.49,1.285,3.49009870413004,1.00009870413004,1.00009870413004,0.5,5.79,0.20779221,0.17880884,0.3401652,0.25948703
399,4539,OADMET-0006204,O=S(=O)(Nc1cccc2c1C1CCC2N1)c1sccc1C1CC1,4.67,1.91,0.648,5.619608140531694,0.9496081405316943,0.9496081405316943,0.5925926,6.050000000000001,0.5925926,1.2516336,1.5670604,1.409347
394,4534,OADMET-0006209,NC(=O)NCc1ccc(C(=O)Nc2ccncc2)cc1,3.41,2.01,0.7464999999999999,2.4664839554939277,-0.9435160445060724,0.9435160445060724,0.5576923,6.205,0.5576923,0.11598744,0.21250753,0.16424748
372,4512,OADMET-0006233,Cc1cccc(C(=O)NC(C)c2cccnc2)c1,4.515000000000001,1.635,0.4745,3.572785069148364,-0.9422149308516365,0.9422149308516365,0.58928573,5.880000000000001,0.29577464,0.13612552,0.36112726,0.24862638
201,4341,OADMET-0006410,CCCC(=O)N1CCC(C(=O)Nc2ccc3c(c2)OCO3)CC1,2.535,2.34,1.06,3.467367059186419,0.932367059186419,0.932367059186419,0.5873016,5.84,0.20689656,0.09903226,0.2866746,0.19285342
375,4515,OADMET-0006230,Cc1ccc(S(=O)(=O)N(C)CC(=O)N2CC(O)C2)cc1C,3.035,2.315,0.926,3.9434116547346334,0.9084116547346333,0.9084116547346333,0.42857143,5.85,0.3846154,0.28600165,0.63150775,0.45875472
477,4617,OADMET-0006123,CC[C@H](O)CNc1cccc(-n2cnc3ccccc32)n1,2.56,1.565,0.4845,3.4634187762491706,0.9034187762491706,0.9034187762491706,0.390625,2.67,0.37313432,0.10487379,0.32896367,0.21691874
381,4521,OADMET-0006224,CCC(O)CNc1cccc(-n2cnc3ccccc32)n1,2.6100000000000003,1.485,0.469,3.5125823397063627,0.9025823397063624,0.9025823397063624,0.390625,2.67,0.37313432,0.13180676,0.37269622,0.2522515
400,4540,OADMET-0006203,CC1CCCN(c2cc(C(=O)N3CCC4(CCN(C)C4=O)CC3)ccn2)C1,4.895,1.46,0.391,3.998857636747601,-0.8961423632523986,0.8961423632523986,0.5070422,6.01,0.5070422,0.30329838,0.6000144,0.4516564
198,4338,OADMET-0006413,CC(C)C1CCc2ccccc2N1C(=O)Cn1ccc(=O)n(C)c1=O,5.995,2.205,0.943,5.103250048704522,-0.8917499512954778,0.8917499512954778,0.546875,6.845,0.546875,0.67226356,1.100937,0.88660026
19,4159,OADMET-0006599,CC(NC(=O)c1cncc(Br)c1)c1cccnc1,2.3600000000000003,2.4450000000000003,1.17,3.2274310738368728,0.8674310738368725,0.8674310738368725,0.5,5.880000000000001,0.29166666,0.09824019,0.19749202,0.1478661
9,4149,OADMET-0006609,O=C(Nc1ccncc1)c1ccc(CNC(=O)C2CC=CCC2)cc1,2.015,2.3200000000000003,1.11,2.8479765273876114,0.8329765273876113,0.8329765273876113,0.53333336,6.205,0.53333336,0.1280679,0.19386417,0.16096604
