molecule_name,true_pec50,true_bin,abs_error,threshold,n_neighbors,n_same_bin,n_low_train,n_high_train,mean_neighbor_pec50,max_sim
OADMET-0006587,5.31,5-6,0.2585410204949916,0.4,2,0,0,1,4.9025,0.5454545617103577
OADMET-0006587,5.31,5-6,0.2585410204949916,0.5,1,0,0,1,6.115,0.5454545617103577
OADMET-0006587,5.31,5-6,0.2585410204949916,0.6,0,0,0,0,,0.5454545617103577
OADMET-0006585,4.215,4-5,0.02747994794345221,0.4,2,1,0,1,5.175,0.46875
OADMET-0006585,4.215,4-5,0.02747994794345221,0.5,0,0,0,0,,0.46875
OADMET-0006585,4.215,4-5,0.02747994794345221,0.6,0,0,0,0,,0.46875
OADMET-0006582,4.67,4-5,0.15306391030036437,0.4,3,2,0,1,5.088333333333334,0.5161290168762207
OADMET-0006582,4.67,4-5,0.15306391030036437,0.5,1,0,0,1,6.115,0.5161290168762207
OADMET-0006582,4.67,4-5,0.15306391030036437,0.6,0,0,0,0,,0.5161290168762207
OADMET-0006581,5.395,5-6,0.2875709524133043,0.4,2,1,0,1,5.83,0.5555555820465088
OADMET-0006581,5.395,5-6,0.2875709524133043,0.5,1,0,0,1,6.140000000000001,0.5555555820465088
OADMET-0006581,5.395,5-6,0.2875709524133043,0.6,0,0,0,0,,0.5555555820465088
OADMET-0006580,5.265,5-6,0.20117308739580153,0.4,1,1,0,0,5.99,0.4821428656578064
OADMET-0006580,5.265,5-6,0.20117308739580153,0.5,0,0,0,0,,0.4821428656578064
OADMET-0006580,5.265,5-6,0.20117308739580153,0.6,0,0,0,0,,0.4821428656578064
OADMET-0006579,5.15,5-6,0.04575939908176174,0.4,5,4,0,0,5.546000000000001,0.5070422291755676
OADMET-0006579,5.15,5-6,0.04575939908176174,0.5,1,1,0,0,5.33,0.5070422291755676
OADMET-0006579,5.15,5-6,0.04575939908176174,0.6,0,0,0,0,,0.5070422291755676
OADMET-0006578,4.890000000000001,4-5,0.18706697084142032,0.4,1,0,0,0,5.85,0.4901960790157318
OADMET-0006578,4.890000000000001,4-5,0.18706697084142032,0.5,0,0,0,0,,0.4901960790157318
OADMET-0006578,4.890000000000001,4-5,0.18706697084142032,0.6,0,0,0,0,,0.4901960790157318
OADMET-0006574,5.405,5-6,0.14630479586325507,0.4,2,2,0,0,5.8100000000000005,0.49056604504585266
OADMET-0006574,5.405,5-6,0.14630479586325507,0.5,0,0,0,0,,0.49056604504585266
OADMET-0006574,5.405,5-6,0.14630479586325507,0.6,0,0,0,0,,0.49056604504585266
OADMET-0006573,4.775,4-5,1.0199294153021845,0.4,1,0,0,0,5.83,0.43283581733703613
OADMET-0006573,4.775,4-5,1.0199294153021845,0.5,0,0,0,0,,0.43283581733703613
OADMET-0006573,4.775,4-5,1.0199294153021845,0.6,0,0,0,0,,0.43283581733703613
OADMET-0006570,4.84,4-5,0.669235486634153,0.4,1,0,0,1,6.18,0.4920634925365448
OADMET-0006570,4.84,4-5,0.669235486634153,0.5,0,0,0,0,,0.4920634925365448
OADMET-0006570,4.84,4-5,0.669235486634153,0.6,0,0,0,0,,0.4920634925365448
OADMET-0006568,5.105,5-6,0.08410051927584838,0.4,1,0,0,1,6.01,0.5205479264259338
OADMET-0006568,5.105,5-6,0.08410051927584838,0.5,1,0,0,1,6.01,0.5205479264259338
OADMET-0006568,5.105,5-6,0.08410051927584838,0.6,0,0,0,0,,0.5205479264259338
OADMET-0006567,4.835,4-5,0.21971775948412464,0.4,1,0,0,1,6.6850000000000005,0.4821428656578064
OADMET-0006567,4.835,4-5,0.21971775948412464,0.5,0,0,0,0,,0.4821428656578064
OADMET-0006567,4.835,4-5,0.21971775948412464,0.6,0,0,0,0,,0.4821428656578064
OADMET-0006566,1.945,<3,1.4897619161604123,0.4,1,1,1,0,2.67,0.4126984179019928
OADMET-0006566,1.945,<3,1.4897619161604123,0.5,0,0,0,0,,0.4126984179019928
OADMET-0006566,1.945,<3,1.4897619161604123,0.6,0,0,0,0,,0.4126984179019928
OADMET-0006565,4.975,4-5,0.22082243433474424,0.4,1,0,0,1,6.01,0.465753436088562
OADMET-0006565,4.975,4-5,0.22082243433474424,0.5,0,0,0,0,,0.465753436088562
OADMET-0006565,4.975,4-5,0.22082243433474424,0.6,0,0,0,0,,0.465753436088562
OADMET-0006564,5.13,5-6,0.0231550825749407,0.4,1,1,0,0,5.85,0.5370370149612427
OADMET-0006564,5.13,5-6,0.0231550825749407,0.5,1,1,0,0,5.85,0.5370370149612427
OADMET-0006564,5.13,5-6,0.0231550825749407,0.6,0,0,0,0,,0.5370370149612427
OADMET-0006561,5.305,5-6,0.10526401913503491,0.4,1,0,0,1,6.18,0.45588234066963196
OADMET-0006561,5.305,5-6,0.10526401913503491,0.5,0,0,0,0,,0.45588234066963196
OADMET-0006561,5.305,5-6,0.10526401913503491,0.6,0,0,0,0,,0.45588234066963196
OADMET-0006559,4.245,4-5,0.11163333428575495,0.4,1,0,0,1,6.045,0.5
OADMET-0006559,4.245,4-5,0.11163333428575495,0.5,1,0,0,1,6.045,0.5
OADMET-0006559,4.245,4-5,0.11163333428575495,0.6,0,0,0,0,,0.5
OADMET-0006557,4.63,4-5,0.6006857735949778,0.4,2,0,0,1,5.035,0.43939393758773804
OADMET-0006557,4.63,4-5,0.6006857735949778,0.5,0,0,0,0,,0.43939393758773804
OADMET-0006557,4.63,4-5,0.6006857735949778,0.6,0,0,0,0,,0.43939393758773804
OADMET-0006555,5.335,5-6,0.0892937846674915,0.4,2,1,0,0,5.1899999999999995,0.4901960790157318
OADMET-0006555,5.335,5-6,0.0892937846674915,0.5,0,0,0,0,,0.4901960790157318
OADMET-0006555,5.335,5-6,0.0892937846674915,0.6,0,0,0,0,,0.4901960790157318
OADMET-0006552,5.41,5-6,0.3584222508498174,0.4,2,2,0,0,5.470000000000001,0.6393442749977112
OADMET-0006552,5.41,5-6,0.3584222508498174,0.5,1,1,0,0,5.66,0.6393442749977112
OADMET-0006552,5.41,5-6,0.3584222508498174,0.6,1,1,0,0,5.66,0.6393442749977112
OADMET-0006548,4.065,4-5,0.05023875146627166,0.4,2,1,0,0,5.345000000000001,0.4761904776096344
OADMET-0006548,4.065,4-5,0.05023875146627166,0.5,0,0,0,0,,0.4761904776096344
OADMET-0006548,4.065,4-5,0.05023875146627166,0.6,0,0,0,0,,0.4761904776096344
OADMET-0006547,4.925000000000001,4-5,0.058673348865423414,0.4,6,3,0,1,5.1525,0.5322580933570862
OADMET-0006547,4.925000000000001,4-5,0.058673348865423414,0.5,2,1,0,0,4.775,0.5322580933570862
OADMET-0006547,4.925000000000001,4-5,0.058673348865423414,0.6,0,0,0,0,,0.5322580933570862
OADMET-0006546,6.72,>=6,1.1077552208815495,0.4,2,0,0,0,4.6175,0.6122449040412903
OADMET-0006546,6.72,>=6,1.1077552208815495,0.5,1,0,0,0,5.904999999999999,0.6122449040412903
OADMET-0006546,6.72,>=6,1.1077552208815495,0.6,1,0,0,0,5.904999999999999,0.6122449040412903
OADMET-0006545,4.96,4-5,0.137791308407885,0.4,1,0,0,0,5.880000000000001,0.6000000238418579
OADMET-0006545,4.96,4-5,0.137791308407885,0.5,1,0,0,0,5.880000000000001,0.6000000238418579
OADMET-0006545,4.96,4-5,0.137791308407885,0.6,1,0,0,0,5.880000000000001,0.6000000238418579
OADMET-0006544,4.87,4-5,0.38013882160380597,0.4,4,2,0,0,5.0225,0.6290322542190552
OADMET-0006544,4.87,4-5,0.38013882160380597,0.5,2,0,0,0,5.470000000000001,0.6290322542190552
OADMET-0006544,4.87,4-5,0.38013882160380597,0.6,1,0,0,0,5.66,0.6290322542190552
OADMET-0006542,5.565,5-6,0.177955292085743,0.4,1,1,0,0,5.904999999999999,0.6000000238418579
OADMET-0006542,5.565,5-6,0.177955292085743,0.5,1,1,0,0,5.904999999999999,0.6000000238418579
OADMET-0006542,5.565,5-6,0.177955292085743,0.6,1,1,0,0,5.904999999999999,0.6000000238418579
OADMET-0006540,5.805,5-6,0.29950266069813924,0.4,1,1,0,0,5.904999999999999,0.6000000238418579
OADMET-0006540,5.805,5-6,0.29950266069813924,0.5,1,1,0,0,5.904999999999999,0.6000000238418579
OADMET-0006540,5.805,5-6,0.29950266069813924,0.6,1,1,0,0,5.904999999999999,0.6000000238418579
OADMET-0006539,5.390000000000001,5-6,0.35056782700316713,0.4,2,2,0,0,5.82,0.47887325286865234
OADMET-0006539,5.390000000000001,5-6,0.35056782700316713,0.5,0,0,0,0,,0.47887325286865234
OADMET-0006539,5.390000000000001,5-6,0.35056782700316713,0.6,0,0,0,0,,0.47887325286865234
OADMET-0006536,4.605,4-5,0.2973557404936784,0.4,1,0,0,1,6.18,0.43478259444236755
OADMET-0006536,4.605,4-5,0.2973557404936784,0.5,0,0,0,0,,0.43478259444236755
OADMET-0006536,4.605,4-5,0.2973557404936784,0.6,0,0,0,0,,0.43478259444236755
OADMET-0006534,2.8200000000000003,<3,2.074503708189022,0.4,2,0,0,1,5.8875,0.5535714030265808
OADMET-0006534,2.8200000000000003,<3,2.074503708189022,0.5,1,0,0,1,6.6850000000000005,0.5535714030265808
OADMET-0006534,2.8200000000000003,<3,2.074503708189022,0.6,0,0,0,0,,0.5535714030265808
OADMET-0006533,4.655,4-5,0.2535129866772756,0.4,3,1,0,0,5.330000000000001,0.47058823704719543
OADMET-0006533,4.655,4-5,0.2535129866772756,0.5,0,0,0,0,,0.47058823704719543
OADMET-0006533,4.655,4-5,0.2535129866772756,0.6,0,0,0,0,,0.47058823704719543
OADMET-0006532,5.25,5-6,0.48474620058791906,0.4,2,1,0,1,5.7275,0.5102040767669678
OADMET-0006532,5.25,5-6,0.48474620058791906,0.5,1,0,0,1,6.045,0.5102040767669678
OADMET-0006532,5.25,5-6,0.48474620058791906,0.6,0,0,0,0,,0.5102040767669678
OADMET-0006531,5.955,5-6,0.6246610681737588,0.4,2,1,0,1,5.83,0.5230769515037537
OADMET-0006531,5.955,5-6,0.6246610681737588,0.5,2,1,0,1,5.83,0.5230769515037537
OADMET-0006531,5.955,5-6,0.6246610681737588,0.6,0,0,0,0,,0.5230769515037537
OADMET-0006530,5.445,5-6,0.13714640247576426,0.4,2,1,0,1,5.9,0.5142857432365417
OADMET-0006530,5.445,5-6,0.13714640247576426,0.5,1,0,0,1,6.26,0.5142857432365417
OADMET-0006530,5.445,5-6,0.13714640247576426,0.6,0,0,0,0,,0.5142857432365417
OADMET-0006529,5.375,5-6,0.6768796799327337,0.4,3,0,0,2,5.960000000000001,0.5070422291755676
OADMET-0006529,5.375,5-6,0.6768796799327337,0.5,1,0,0,0,4.83,0.5070422291755676
OADMET-0006529,5.375,5-6,0.6768796799327337,0.6,0,0,0,0,,0.5070422291755676
OADMET-0006525,4.415,4-5,0.019036764843121112,0.4,5,2,0,1,5.305000000000001,0.6071428656578064
OADMET-0006525,4.415,4-5,0.019036764843121112,0.5,5,2,0,1,5.305000000000001,0.6071428656578064
OADMET-0006525,4.415,4-5,0.019036764843121112,0.6,1,1,0,0,4.81,0.6071428656578064
OADMET-0006523,4.76,4-5,0.33750082227493916,0.4,2,1,0,1,5.32,0.4923076927661896
OADMET-0006523,4.76,4-5,0.33750082227493916,0.5,0,0,0,0,,0.4923076927661896
OADMET-0006523,4.76,4-5,0.33750082227493916,0.6,0,0,0,0,,0.4923076927661896
OADMET-0006522,5.625,5-6,0.47398002025716934,0.4,1,0,0,1,6.6850000000000005,0.44999998807907104
OADMET-0006522,5.625,5-6,0.47398002025716934,0.5,0,0,0,0,,0.44999998807907104
OADMET-0006522,5.625,5-6,0.47398002025716934,0.6,0,0,0,0,,0.44999998807907104
OADMET-0006520,4.845000000000001,4-5,0.1448819083098174,0.4,2,0,1,1,4.24,0.5076923370361328
OADMET-0006520,4.845000000000001,4-5,0.1448819083098174,0.5,1,0,0,1,6.26,0.5076923370361328
OADMET-0006520,4.845000000000001,4-5,0.1448819083098174,0.6,0,0,0,0,,0.5076923370361328
OADMET-0006517,4.244999999999999,4-5,0.25890015924676657,0.4,0,0,0,0,,0.3970588147640228
OADMET-0006517,4.244999999999999,4-5,0.25890015924676657,0.5,0,0,0,0,,0.3970588147640228
OADMET-0006517,4.244999999999999,4-5,0.25890015924676657,0.6,0,0,0,0,,0.3970588147640228
OADMET-0006515,5.23,5-6,0.5294739921734406,0.4,1,0,0,1,6.01,0.465753436088562
OADMET-0006515,5.23,5-6,0.5294739921734406,0.5,0,0,0,0,,0.465753436088562
OADMET-0006515,5.23,5-6,0.5294739921734406,0.6,0,0,0,0,,0.465753436088562
OADMET-0006514,2.725,<3,1.6283015549010362,0.4,2,0,0,0,5.6899999999999995,0.5
OADMET-0006514,2.725,<3,1.6283015549010362,0.5,1,0,0,0,5.79,0.5
OADMET-0006514,2.725,<3,1.6283015549010362,0.6,0,0,0,0,,0.5
OADMET-0006511,3.655,3-4,0.4641210560926221,0.4,2,0,0,1,5.32,0.5625
OADMET-0006511,3.655,3-4,0.4641210560926221,0.5,1,0,0,0,4.64,0.5625
OADMET-0006511,3.655,3-4,0.4641210560926221,0.6,0,0,0,0,,0.5625
OADMET-0006507,4.465,4-5,0.20340399859334468,0.4,2,1,0,1,5.32,0.484375
OADMET-0006507,4.465,4-5,0.20340399859334468,0.5,0,0,0,0,,0.484375
OADMET-0006507,4.465,4-5,0.20340399859334468,0.6,0,0,0,0,,0.484375
OADMET-0006506,2.2,<3,1.1048917379045786,0.4,2,0,0,1,5.6975,0.5714285969734192
OADMET-0006506,2.2,<3,1.1048917379045786,0.5,1,0,0,1,6.205,0.5714285969734192
OADMET-0006506,2.2,<3,1.1048917379045786,0.6,0,0,0,0,,0.5714285969734192
OADMET-0006504,5.15,5-6,0.028880267774391122,0.4,3,1,0,1,5.265,0.5681818127632141
OADMET-0006504,5.15,5-6,0.028880267774391122,0.5,1,0,0,1,6.015000000000001,0.5681818127632141
OADMET-0006504,5.15,5-6,0.028880267774391122,0.6,0,0,0,0,,0.5681818127632141
OADMET-0006501,4.27,4-5,0.07171263310802978,0.4,2,0,0,0,5.6899999999999995,0.4754098355770111
OADMET-0006501,4.27,4-5,0.07171263310802978,0.5,0,0,0,0,,0.4754098355770111
OADMET-0006501,4.27,4-5,0.07171263310802978,0.6,0,0,0,0,,0.4754098355770111
OADMET-0006499,5.065,5-6,0.020959097443705943,0.4,1,0,0,1,6.045,0.6363636255264282
OADMET-0006499,5.065,5-6,0.020959097443705943,0.5,1,0,0,1,6.045,0.6363636255264282
OADMET-0006499,5.065,5-6,0.020959097443705943,0.6,1,0,0,1,6.045,0.6363636255264282
OADMET-0006494,4.295,4-5,0.27995882125114235,0.4,1,0,0,0,5.85,0.5094339847564697
OADMET-0006494,4.295,4-5,0.27995882125114235,0.5,1,0,0,0,5.85,0.5094339847564697
OADMET-0006494,4.295,4-5,0.27995882125114235,0.6,0,0,0,0,,0.5094339847564697
OADMET-0006490,3.245,3-4,0.1743682233260584,0.4,3,0,1,0,4.226666666666667,0.5373134613037109
OADMET-0006490,3.245,3-4,0.1743682233260584,0.5,1,0,0,0,5.84,0.5373134613037109
OADMET-0006490,3.245,3-4,0.1743682233260584,0.6,0,0,0,0,,0.5373134613037109
OADMET-0006484,5.51,5-6,0.03661311047915827,0.4,1,0,0,1,6.01,0.4647887349128723
OADMET-0006484,5.51,5-6,0.03661311047915827,0.5,0,0,0,0,,0.4647887349128723
OADMET-0006484,5.51,5-6,0.03661311047915827,0.6,0,0,0,0,,0.4647887349128723
OADMET-0006482,6.035,>=6,0.3023277550622696,0.4,3,1,0,1,5.758333333333333,0.5849056839942932
OADMET-0006482,6.035,>=6,0.3023277550622696,0.5,1,1,0,1,6.015000000000001,0.5849056839942932
OADMET-0006482,6.035,>=6,0.3023277550622696,0.6,0,0,0,0,,0.5849056839942932
OADMET-0006477,5.35,5-6,0.14960859593478215,0.4,1,0,0,1,6.11,0.45945945382118225
OADMET-0006477,5.35,5-6,0.14960859593478215,0.5,0,0,0,0,,0.45945945382118225
OADMET-0006477,5.35,5-6,0.14960859593478215,0.6,0,0,0,0,,0.45945945382118225
OADMET-0006472,1.755,<3,1.4065782323991418,0.4,1,0,0,1,6.205,0.578125
OADMET-0006472,1.755,<3,1.4065782323991418,0.5,1,0,0,1,6.205,0.578125
OADMET-0006472,1.755,<3,1.4065782323991418,0.6,0,0,0,0,,0.578125
OADMET-0006469,4.58,4-5,0.5711104653393058,0.4,1,0,0,0,5.99,0.4464285671710968
OADMET-0006469,4.58,4-5,0.5711104653393058,0.5,0,0,0,0,,0.4464285671710968
OADMET-0006469,4.58,4-5,0.5711104653393058,0.6,0,0,0,0,,0.4464285671710968
OADMET-0006468,5.87,5-6,0.8297271311791921,0.4,2,1,0,1,5.175,0.4920634925365448
OADMET-0006468,5.87,5-6,0.8297271311791921,0.5,0,0,0,0,,0.4920634925365448
OADMET-0006468,5.87,5-6,0.8297271311791921,0.6,0,0,0,0,,0.4920634925365448
OADMET-0006463,5.54,5-6,0.6168977254295509,0.4,3,1,0,1,5.375,0.5319148898124695
OADMET-0006463,5.54,5-6,0.6168977254295509,0.5,2,0,0,1,5.3575,0.5319148898124695
OADMET-0006463,5.54,5-6,0.6168977254295509,0.6,0,0,0,0,,0.5319148898124695
OADMET-0006462,5.550000000000001,5-6,0.05036809554948274,0.4,1,1,0,0,5.904999999999999,0.7446808218955994
OADMET-0006462,5.550000000000001,5-6,0.05036809554948274,0.5,1,1,0,0,5.904999999999999,0.7446808218955994
OADMET-0006462,5.550000000000001,5-6,0.05036809554948274,0.6,1,1,0,0,5.904999999999999,0.7446808218955994
OADMET-0006461,5.34,5-6,0.000668718863570561,0.4,5,4,0,0,5.546000000000001,0.49295774102211
OADMET-0006461,5.34,5-6,0.000668718863570561,0.5,0,0,0,0,,0.49295774102211
OADMET-0006461,5.34,5-6,0.000668718863570561,0.6,0,0,0,0,,0.49295774102211
OADMET-0006460,1.98,<3,0.7295319596727268,0.4,1,0,0,0,5.945,0.5
OADMET-0006460,1.98,<3,0.7295319596727268,0.5,1,0,0,0,5.945,0.5
OADMET-0006460,1.98,<3,0.7295319596727268,0.6,0,0,0,0,,0.5
OADMET-0006458,1.945,<3,2.22658476867593,0.4,1,0,0,1,6.01,0.5
OADMET-0006458,1.945,<3,2.22658476867593,0.5,1,0,0,1,6.01,0.5
OADMET-0006458,1.945,<3,2.22658476867593,0.6,0,0,0,0,,0.5
OADMET-0006455,6.225,>=6,1.076222532823313,0.4,1,0,0,0,5.83,0.43283581733703613
OADMET-0006455,6.225,>=6,1.076222532823313,0.5,0,0,0,0,,0.43283581733703613
OADMET-0006455,6.225,>=6,1.076222532823313,0.6,0,0,0,0,,0.43283581733703613
OADMET-0006453,5.135,5-6,0.26255901688116534,0.4,2,1,0,1,5.7250000000000005,0.5714285969734192
OADMET-0006453,5.135,5-6,0.26255901688116534,0.5,2,1,0,1,5.7250000000000005,0.5714285969734192
OADMET-0006453,5.135,5-6,0.26255901688116534,0.6,0,0,0,0,,0.5714285969734192
OADMET-0006452,4.72,4-5,0.4739690699658423,0.4,1,0,0,0,5.945,0.5357142686843872
OADMET-0006452,4.72,4-5,0.4739690699658423,0.5,1,0,0,0,5.945,0.5357142686843872
OADMET-0006452,4.72,4-5,0.4739690699658423,0.6,0,0,0,0,,0.5357142686843872
OADMET-0006451,5.11,5-6,0.10247280179239393,0.4,5,3,0,1,5.386,0.6000000238418579
OADMET-0006451,5.11,5-6,0.10247280179239393,0.5,2,1,0,1,5.9,0.6000000238418579
OADMET-0006451,5.11,5-6,0.10247280179239393,0.6,1,1,0,0,5.54,0.6000000238418579
OADMET-0006449,4.465,4-5,0.5992103980889647,0.4,3,0,0,1,5.03,0.581818163394928
OADMET-0006449,4.465,4-5,0.5992103980889647,0.5,2,0,0,1,5.7250000000000005,0.581818163394928
OADMET-0006449,4.465,4-5,0.5992103980889647,0.6,0,0,0,0,,0.581818163394928
OADMET-0006445,5.029999999999999,5-6,0.10902092315929313,0.4,3,1,0,0,5.066666666666666,0.5625
OADMET-0006445,5.029999999999999,5-6,0.10902092315929313,0.5,1,0,0,0,4.71,0.5625
OADMET-0006445,5.029999999999999,5-6,0.10902092315929313,0.6,0,0,0,0,,0.5625
OADMET-0006443,4.6850000000000005,4-5,0.02360971977535531,0.4,3,0,0,0,5.623333333333334,0.5666666626930237
OADMET-0006443,4.6850000000000005,4-5,0.02360971977535531,0.5,1,0,0,0,5.69,0.5666666626930237
OADMET-0006443,4.6850000000000005,4-5,0.02360971977535531,0.6,0,0,0,0,,0.5666666626930237
OADMET-0006442,4.75,4-5,0.02921479592960985,0.4,1,0,0,1,6.045,0.5306122303009033
OADMET-0006442,4.75,4-5,0.02921479592960985,0.5,1,0,0,1,6.045,0.5306122303009033
OADMET-0006442,4.75,4-5,0.02921479592960985,0.6,0,0,0,0,,0.5306122303009033
OADMET-0006441,4.734999999999999,4-5,0.5997577375579883,0.4,1,0,0,0,5.99,0.5090909004211426
OADMET-0006441,4.734999999999999,4-5,0.5997577375579883,0.5,1,0,0,0,5.99,0.5090909004211426
OADMET-0006441,4.734999999999999,4-5,0.5997577375579883,0.6,0,0,0,0,,0.5090909004211426
OADMET-0006440,5.165,5-6,0.2616691907985542,0.4,2,0,0,1,5.3475,0.5111111402511597
OADMET-0006440,5.165,5-6,0.2616691907985542,0.5,1,0,0,1,6.045,0.5111111402511597
OADMET-0006440,5.165,5-6,0.2616691907985542,0.6,0,0,0,0,,0.5111111402511597
OADMET-0006439,1.745,<3,2.875959352467861,0.4,2,1,1,1,4.365,0.4761904776096344
OADMET-0006439,1.745,<3,2.875959352467861,0.5,0,0,0,0,,0.4761904776096344
OADMET-0006439,1.745,<3,2.875959352467861,0.6,0,0,0,0,,0.4761904776096344
OADMET-0006435,2.475,<3,0.7367832614961634,0.4,2,0,0,0,5.27,0.5522388219833374
OADMET-0006435,2.475,<3,0.7367832614961634,0.5,2,0,0,0,5.27,0.5522388219833374
OADMET-0006435,2.475,<3,0.7367832614961634,0.6,0,0,0,0,,0.5522388219833374
OADMET-0006433,1.845,<3,1.2192894256077669,0.4,1,0,0,1,6.205,0.5423728823661804
OADMET-0006433,1.845,<3,1.2192894256077669,0.5,1,0,0,1,6.205,0.5423728823661804
OADMET-0006433,1.845,<3,1.2192894256077669,0.6,0,0,0,0,,0.5423728823661804
OADMET-0006431,4.005,4-5,0.460483632350023,0.4,1,0,0,0,5.945,0.5230769515037537
OADMET-0006431,4.005,4-5,0.460483632350023,0.5,1,0,0,0,5.945,0.5230769515037537
OADMET-0006431,4.005,4-5,0.460483632350023,0.6,0,0,0,0,,0.5230769515037537
OADMET-0006430,5.285,5-6,0.13882151315436353,0.4,3,1,0,0,5.136666666666667,0.5531914830207825
OADMET-0006430,5.285,5-6,0.13882151315436353,0.5,1,0,0,0,4.78,0.5531914830207825
OADMET-0006430,5.285,5-6,0.13882151315436353,0.6,0,0,0,0,,0.5531914830207825
OADMET-0006429,5.37,5-6,0.21842072732007622,0.4,2,1,0,1,6.04,0.4821428656578064
OADMET-0006429,5.37,5-6,0.21842072732007622,0.5,0,0,0,0,,0.4821428656578064
OADMET-0006429,5.37,5-6,0.21842072732007622,0.6,0,0,0,0,,0.4821428656578064
OADMET-0006427,3.38,3-4,1.5984522766192493,0.4,1,0,0,1,6.11,0.5076923370361328
OADMET-0006427,3.38,3-4,1.5984522766192493,0.5,1,0,0,1,6.11,0.5076923370361328
